node_id,attack_id,rank,score,label,pred_velox_threshold,in_all_attacks_rank_prefix,in_all_attacks_score_cutoff,node_type,path,cmd,src_addr,src_port,dst_addr,dst_port
2447478,1,1,17.083299637,1,1,1,1,,,,,,,
355657,1,2,17.083299637,1,1,1,1,,,,,,,
355641,1,3,17.083299637,1,1,1,1,,,,,,,
355572,1,4,17.083299637,1,1,1,1,,,,,,,
355535,1,5,17.083299637,1,1,1,1,,,,,,,
1219519,0,6,16.527532578,1,1,1,1,,,,,,,
228725,0,7,16.527532578,1,1,1,1,,,,,,,
2609543,2,8,16.527528763,1,1,1,1,,,,,,,
2445651,1,9,16.527528763,1,1,0,1,,,,,,,
2444455,1,10,16.527528763,1,1,0,1,,,,,,,
370961,2,11,16.527528763,1,1,0,1,,,,,,,
355357,1,12,16.527528763,1,1,0,1,,,,,,,
355357,2,12,16.527528763,1,1,0,1,,,,,,,
355316,1,13,16.527528763,1,1,0,1,,,,,,,
355247,1,14,16.527528763,1,1,0,1,,,,,,,
355176,1,15,16.527528763,1,1,0,1,,,,,,,
2442623,1,16,16.527526855,1,1,0,0,,,,,,,
355056,1,17,16.527526855,1,1,0,0,,,,,,,
354975,1,18,16.527526855,1,1,0,0,,,,,,,
2445298,1,19,14.502065659,1,1,0,0,,,,,,,
2446982,1,21,13.992912292,1,1,0,0,,,,,,,
355470,1,22,13.992912292,1,1,0,0,,,,,,,
370899,2,737,10.641149521,1,1,0,0,,,,,,,
370876,2,738,10.641149521,1,1,0,0,,,,,,,
370896,2,2557,6.551986217,1,0,0,0,,,,,,,
370873,2,2558,6.551986217,1,0,0,0,,,,,,,
2446677,1,2974,5.944405079,1,0,0,0,,,,,,,
355447,1,2975,5.944405079,1,0,0,0,,,,,,,
355439,1,2976,5.944405079,1,0,0,0,,,,,,,
356868,2,6738,2.294044495,1,0,0,0,,,,,,,
337550,1,6739,2.294044495,1,0,0,0,,,,,,,
147460,2,6740,2.294044495,1,0,0,0,,,,,,,
140957,1,6741,2.294044495,1,0,0,0,,,,,,,
147515,2,6742,2.293364763,1,0,0,0,,,,,,,
141183,1,6743,2.293364763,1,0,0,0,,,,,,,
141183,2,6743,2.293364763,1,0,0,0,,,,,,,
2609587,2,10287,2.184566259,1,0,0,0,,,,,,,
211776,0,10919,2.162517786,1,0,0,0,,,,,,,
26318,0,16501,2.073575020,1,0,0,0,,,,,,,
26277,0,18157,1.978950262,1,0,0,0,,,,,,,
140956,1,18244,1.940496683,1,0,0,0,,,,,,,
26254,0,18311,1.925585985,1,0,0,0,,,,,,,
370904,2,18748,1.882369995,1,0,0,0,,,,,,,
147459,2,19491,1.881981373,1,0,0,0,,,,,,,
147461,2,19884,1.774576664,1,0,0,0,,,,,,,
140960,1,19885,1.774576664,1,0,0,0,,,,,,,
26281,0,20029,1.740925312,1,0,0,0,,,,,,,
379482,1,23675,1.480947018,1,0,0,0,,,,,,,
379482,2,23675,1.480947018,1,0,0,0,,,,,,,
354935,1,29305,1.460601211,1,0,0,0,,,,,,,
354877,1,30768,1.459329367,1,0,0,0,,,,,,,
370898,2,79702,1.457745314,1,0,0,0,,,,,,,
370875,2,79703,1.457745314,1,0,0,0,,,,,,,
370903,2,101389,1.453520536,1,0,0,0,,,,,,,
379506,1,122177,1.449867845,1,0,0,0,,,,,,,
26357,0,128700,1.444717646,1,0,0,0,,,,,,,
380024,1,157922,1.418826461,1,0,0,0,,,,,,,
141147,1,159165,1.381406069,1,0,0,0,,,,,,,
355640,2,161775,1.359638214,1,0,0,0,,,,,,,
141285,1,162103,1.241398096,1,0,0,0,,,,,,,
354933,1,171407,1.123656511,1,0,0,0,,,,,,,
2609590,2,171447,1.115406394,1,0,0,0,,,,,,,
2446308,1,202530,0.329087257,1,0,0,0,,,,,,,
418674,2,207716,0.275804311,1,0,0,0,,,,,,,
355507,1,279904,0.263015807,1,0,0,0,,,,,,,
355502,1,279905,0.263015807,1,0,0,0,,,,,,,
354940,1,279906,0.263015807,1,0,0,0,,,,,,,
354938,1,279907,0.263015807,1,0,0,0,,,,,,,
2442683,1,280045,0.253826439,1,0,0,0,,,,,,,
381102,1,280185,0.165781870,1,0,0,0,,,,,,,
336472,1,280186,0.165781870,1,0,0,0,,,,,,,
