case,rank,node_id,node_group,operation,type_pair,group,original_loss,ablated_loss,loss_drop_when_zeroed,captum_attr_sum,captum_attr_mean
TP_above_threshold:1:2447478,1,2447478,TP_above_threshold,EVENT_EXECUTE,file->subject,src_embedding,17.083293915,8.821282387,8.262011528,528.768737793,8.262011528
TP_above_threshold:1:2447478,1,2447478,TP_above_threshold,EVENT_EXECUTE,file->subject,src_type,17.083293915,18.355974197,-1.272680283,-3.818040848,-1.272680283
TP_above_threshold:1:2447478,1,2447478,TP_above_threshold,EVENT_EXECUTE,file->subject,dst_embedding,17.083293915,19.552333832,-2.469039917,-158.018554688,-2.469039917
TP_above_threshold:1:2447478,1,2447478,TP_above_threshold,EVENT_EXECUTE,file->subject,dst_type,17.083293915,17.670185089,-0.586891174,-1.760673523,-0.586891174
TP_above_threshold:2:355657,2,355657,TP_above_threshold,EVENT_EXECUTE,file->subject,src_embedding,17.083293915,8.821282387,8.262011528,528.768737793,8.262011528
TP_above_threshold:2:355657,2,355657,TP_above_threshold,EVENT_EXECUTE,file->subject,src_type,17.083293915,18.355974197,-1.272680283,-3.818040848,-1.272680283
TP_above_threshold:2:355657,2,355657,TP_above_threshold,EVENT_EXECUTE,file->subject,dst_embedding,17.083293915,19.552333832,-2.469039917,-158.018554688,-2.469039917
TP_above_threshold:2:355657,2,355657,TP_above_threshold,EVENT_EXECUTE,file->subject,dst_type,17.083293915,17.670185089,-0.586891174,-1.760673523,-0.586891174
TP_above_threshold:3:355641,3,355641,TP_above_threshold,EVENT_EXECUTE,file->subject,src_embedding,17.083293915,8.821282387,8.262011528,528.768737793,8.262011528
TP_above_threshold:3:355641,3,355641,TP_above_threshold,EVENT_EXECUTE,file->subject,src_type,17.083293915,18.355974197,-1.272680283,-3.818040848,-1.272680283
TP_above_threshold:3:355641,3,355641,TP_above_threshold,EVENT_EXECUTE,file->subject,dst_embedding,17.083293915,19.552333832,-2.469039917,-158.018554688,-2.469039917
TP_above_threshold:3:355641,3,355641,TP_above_threshold,EVENT_EXECUTE,file->subject,dst_type,17.083293915,17.670185089,-0.586891174,-1.760673523,-0.586891174
TP_above_threshold:4:355572,4,355572,TP_above_threshold,EVENT_EXECUTE,file->subject,src_embedding,17.083293915,8.821282387,8.262011528,528.768737793,8.262011528
TP_above_threshold:4:355572,4,355572,TP_above_threshold,EVENT_EXECUTE,file->subject,src_type,17.083293915,18.355974197,-1.272680283,-3.818040848,-1.272680283
TP_above_threshold:4:355572,4,355572,TP_above_threshold,EVENT_EXECUTE,file->subject,dst_embedding,17.083293915,19.552333832,-2.469039917,-158.018554688,-2.469039917
TP_above_threshold:4:355572,4,355572,TP_above_threshold,EVENT_EXECUTE,file->subject,dst_type,17.083293915,17.670185089,-0.586891174,-1.760673523,-0.586891174
TP_above_threshold:5:355535,5,355535,TP_above_threshold,EVENT_EXECUTE,file->subject,src_embedding,17.083293915,8.821282387,8.262011528,528.768737793,8.262011528
TP_above_threshold:5:355535,5,355535,TP_above_threshold,EVENT_EXECUTE,file->subject,src_type,17.083293915,18.355974197,-1.272680283,-3.818040848,-1.272680283
TP_above_threshold:5:355535,5,355535,TP_above_threshold,EVENT_EXECUTE,file->subject,dst_embedding,17.083293915,19.552333832,-2.469039917,-158.018554688,-2.469039917
TP_above_threshold:5:355535,5,355535,TP_above_threshold,EVENT_EXECUTE,file->subject,dst_type,17.083293915,17.670185089,-0.586891174,-1.760673523,-0.586891174
TP_above_threshold:6:1219519,6,1219519,TP_above_threshold,EVENT_EXECUTE,file->subject,src_embedding,16.527530670,7.245937824,9.281592846,594.021972656,9.281593323
TP_above_threshold:6:1219519,6,1219519,TP_above_threshold,EVENT_EXECUTE,file->subject,src_type,16.527530670,16.684555054,-0.157024384,-0.471073151,-0.157024384
TP_above_threshold:6:1219519,6,1219519,TP_above_threshold,EVENT_EXECUTE,file->subject,dst_embedding,16.527530670,18.891525269,-2.363994598,-151.295654297,-2.363994598
TP_above_threshold:6:1219519,6,1219519,TP_above_threshold,EVENT_EXECUTE,file->subject,dst_type,16.527530670,16.037010193,0.490520477,1.471561432,0.490520477
TP_above_threshold:7:228725,7,228725,TP_above_threshold,EVENT_EXECUTE,file->subject,src_embedding,16.527530670,7.245937824,9.281592846,594.021972656,9.281593323
TP_above_threshold:7:228725,7,228725,TP_above_threshold,EVENT_EXECUTE,file->subject,src_type,16.527530670,16.684555054,-0.157024384,-0.471073151,-0.157024384
TP_above_threshold:7:228725,7,228725,TP_above_threshold,EVENT_EXECUTE,file->subject,dst_embedding,16.527530670,18.891525269,-2.363994598,-151.295654297,-2.363994598
TP_above_threshold:7:228725,7,228725,TP_above_threshold,EVENT_EXECUTE,file->subject,dst_type,16.527530670,16.037010193,0.490520477,1.471561432,0.490520477
TP_above_threshold:8:2609543,8,2609543,TP_above_threshold,EVENT_EXECUTE,file->subject,src_embedding,16.527530670,7.245937824,9.281592846,594.021972656,9.281593323
TP_above_threshold:8:2609543,8,2609543,TP_above_threshold,EVENT_EXECUTE,file->subject,src_type,16.527530670,16.684555054,-0.157024384,-0.471073151,-0.157024384
TP_above_threshold:8:2609543,8,2609543,TP_above_threshold,EVENT_EXECUTE,file->subject,dst_embedding,16.527530670,18.891525269,-2.363994598,-151.295654297,-2.363994598
TP_above_threshold:8:2609543,8,2609543,TP_above_threshold,EVENT_EXECUTE,file->subject,dst_type,16.527530670,16.037010193,0.490520477,1.471561432,0.490520477
TP_above_threshold:9:2445651,9,2445651,TP_above_threshold,EVENT_EXECUTE,file->subject,src_embedding,16.527530670,7.245937824,9.281592846,594.021972656,9.281593323
TP_above_threshold:9:2445651,9,2445651,TP_above_threshold,EVENT_EXECUTE,file->subject,src_type,16.527530670,16.684555054,-0.157024384,-0.471073151,-0.157024384
TP_above_threshold:9:2445651,9,2445651,TP_above_threshold,EVENT_EXECUTE,file->subject,dst_embedding,16.527530670,18.891525269,-2.363994598,-151.295654297,-2.363994598
TP_above_threshold:9:2445651,9,2445651,TP_above_threshold,EVENT_EXECUTE,file->subject,dst_type,16.527530670,16.037010193,0.490520477,1.471561432,0.490520477
TP_above_threshold:10:2444455,10,2444455,TP_above_threshold,EVENT_EXECUTE,file->subject,src_embedding,16.527530670,7.245937824,9.281592846,594.021972656,9.281593323
TP_above_threshold:10:2444455,10,2444455,TP_above_threshold,EVENT_EXECUTE,file->subject,src_type,16.527530670,16.684555054,-0.157024384,-0.471073151,-0.157024384
TP_above_threshold:10:2444455,10,2444455,TP_above_threshold,EVENT_EXECUTE,file->subject,dst_embedding,16.527530670,18.891525269,-2.363994598,-151.295654297,-2.363994598
TP_above_threshold:10:2444455,10,2444455,TP_above_threshold,EVENT_EXECUTE,file->subject,dst_type,16.527530670,16.037010193,0.490520477,1.471561432,0.490520477
TP_above_threshold:11:370961,11,370961,TP_above_threshold,EVENT_EXECUTE,file->subject,src_embedding,16.527530670,7.245937824,9.281592846,594.021972656,9.281593323
TP_above_threshold:11:370961,11,370961,TP_above_threshold,EVENT_EXECUTE,file->subject,src_type,16.527530670,16.684555054,-0.157024384,-0.471073151,-0.157024384
TP_above_threshold:11:370961,11,370961,TP_above_threshold,EVENT_EXECUTE,file->subject,dst_embedding,16.527530670,18.891525269,-2.363994598,-151.295654297,-2.363994598
TP_above_threshold:11:370961,11,370961,TP_above_threshold,EVENT_EXECUTE,file->subject,dst_type,16.527530670,16.037010193,0.490520477,1.471561432,0.490520477
TP_above_threshold:12:355357,12,355357,TP_above_threshold,EVENT_EXECUTE,file->subject,src_embedding,16.527530670,7.245937824,9.281592846,594.021972656,9.281593323
TP_above_threshold:12:355357,12,355357,TP_above_threshold,EVENT_EXECUTE,file->subject,src_type,16.527530670,16.684555054,-0.157024384,-0.471073151,-0.157024384
TP_above_threshold:12:355357,12,355357,TP_above_threshold,EVENT_EXECUTE,file->subject,dst_embedding,16.527530670,18.891525269,-2.363994598,-151.295654297,-2.363994598
TP_above_threshold:12:355357,12,355357,TP_above_threshold,EVENT_EXECUTE,file->subject,dst_type,16.527530670,16.037010193,0.490520477,1.471561432,0.490520477
TP_above_threshold:13:355316,13,355316,TP_above_threshold,EVENT_EXECUTE,file->subject,src_embedding,16.527530670,7.245937824,9.281592846,594.021972656,9.281593323
TP_above_threshold:13:355316,13,355316,TP_above_threshold,EVENT_EXECUTE,file->subject,src_type,16.527530670,16.684555054,-0.157024384,-0.471073151,-0.157024384
TP_above_threshold:13:355316,13,355316,TP_above_threshold,EVENT_EXECUTE,file->subject,dst_embedding,16.527530670,18.891525269,-2.363994598,-151.295654297,-2.363994598
