node_group,operation,type_pair,feature_group,edge_count,loss_drop_mean,loss_drop_median,loss_drop_p10,loss_drop_p90
TP_above_threshold,EVENT_EXECUTE,file->subject,src_embedding,21,8.627741201,9.281592846,6.491112709,9.281592846
TP_above_threshold,EVENT_EXECUTE,file->subject,src_type,21,-0.490550450,-0.157024384,-1.272680283,-0.157024384
TP_above_threshold,EVENT_EXECUTE,file->subject,dst_embedding,21,-2.437749817,-2.363994598,-2.649170876,-2.363994598
TP_above_threshold,EVENT_EXECUTE,file->subject,dst_type,21,0.232446988,0.490520477,-0.586891174,0.490520477
TP_above_threshold,EVENT_RECVMSG,file->subject,src_embedding,2,3.859986305,3.859986305,3.859986305,3.859986305
TP_above_threshold,EVENT_RECVMSG,file->subject,src_type,2,2.489876747,2.489876747,2.489876747,2.489876747
TP_above_threshold,EVENT_RECVMSG,file->subject,dst_embedding,2,-1.518221855,-1.518221855,-1.518221855,-1.518221855
TP_above_threshold,EVENT_RECVMSG,file->subject,dst_type,2,1.820228577,1.820228577,1.820228577,1.820228577
FP_above_threshold,EVENT_RECVMSG,file->subject,src_embedding,1079,3.860509903,3.859986305,3.859986305,3.859986305
FP_above_threshold,EVENT_RECVMSG,file->subject,src_type,1079,2.489905827,2.489876747,2.489876747,2.489876747
FP_above_threshold,EVENT_RECVMSG,file->subject,dst_embedding,1079,-1.518558838,-1.518221855,-1.518221855,-1.518221855
FP_above_threshold,EVENT_RECVMSG,file->subject,dst_type,1079,1.820355706,1.820228577,1.820228577,1.820228577
FP_above_threshold,EVENT_EXECUTE,file->subject,src_embedding,3,3.717168490,2.330196381,2.330196381,5.658929443
FP_above_threshold,EVENT_EXECUTE,file->subject,src_type,3,-0.979448318,-1.164872169,-1.164872169,-0.719854927
FP_above_threshold,EVENT_EXECUTE,file->subject,dst_embedding,3,-2.763887723,-2.821246147,-2.821246147,-2.683585930
FP_above_threshold,EVENT_EXECUTE,file->subject,dst_type,3,0.474759737,0.631250381,0.255672836,0.631250381
