node_group,node_group_label,operation,type_pair,target_role,src_label,dst_label,attack,short_attack,endpoint_pair,short_endpoint_pair,count,fraction
TP_above_threshold,TP: malicious above threshold,EVENT_EXECUTE,file->subject,src,file: /tmp/test,node 355535,Nginx backdoor 12,Attack 1,file: /tmp/test -> node 355535,tmp/test --> node 355535,1,0.043478261
TP_above_threshold,TP: malicious above threshold,EVENT_EXECUTE,file->subject,dst,file: /tmp/test,node 355657,Nginx backdoor 12,Attack 1,file: /tmp/test -> node 355657,tmp/test --> node 355657,1,0.043478261
TP_above_threshold,TP: malicious above threshold,EVENT_EXECUTE,file->subject,dst,file: /tmp/test,node 355641,Nginx backdoor 12,Attack 1,file: /tmp/test -> node 355641,tmp/test --> node 355641,1,0.043478261
TP_above_threshold,TP: malicious above threshold,EVENT_EXECUTE,file->subject,dst,file: /tmp/test,node 355572,Nginx backdoor 12,Attack 1,file: /tmp/test -> node 355572,tmp/test --> node 355572,1,0.043478261
TP_above_threshold,TP: malicious above threshold,EVENT_EXECUTE,file->subject,dst,file: /tmp/test,node 355535,Nginx backdoor 12,Attack 1,file: /tmp/test -> node 355535,tmp/test --> node 355535,1,0.043478261
TP_above_threshold,TP: malicious above threshold,EVENT_EXECUTE,file->subject,src,file: /tmp/vUgefal,node 228725,Nginx backdoor 06,Attack 0,file: /tmp/vUgefal -> node 228725,tmp/vUgefal --> node 228725,1,0.043478261
TP_above_threshold,TP: malicious above threshold,EVENT_EXECUTE,file->subject,dst,file: /tmp/vUgefal,node 228725,Nginx backdoor 06,Attack 0,file: /tmp/vUgefal -> node 228725,tmp/vUgefal --> node 228725,1,0.043478261
TP_above_threshold,TP: malicious above threshold,EVENT_EXECUTE,file->subject,src,file: /tmp/pEja72mA,node 370961,Nginx backdoor 13,Attack 2,file: /tmp/pEja72mA -> node 370961,tmp/pEja72mA --> node 370961,1,0.043478261
TP_above_threshold,TP: malicious above threshold,EVENT_EXECUTE,file->subject,src,file: /tmp/XIM,node 355316,Nginx backdoor 12,Attack 1,file: /tmp/XIM -> node 355316,tmp/XIM --> node 355316,1,0.043478261
TP_above_threshold,TP: malicious above threshold,EVENT_EXECUTE,file->subject,src,file: /tmp/minions,node 355176,Nginx backdoor 12,Attack 1,file: /tmp/minions -> node 355176,tmp/minions --> node 355176,1,0.043478261
