rank,node_id,node_group,score,label,pred_above_threshold,attacks,incident_edges,responsible_loss,score_minus_responsible_loss,operation,event_uuid,time_raw,time_eastern,window,target_role,srcnode,dstnode,src_type,dst_type,type_pair,node_label_text,src_label,dst_label,score_band
1,2447478,TP_above_threshold,17.083299637,1,1,Nginx backdoor 12,6,17.083299637,0.000000000,EVENT_EXECUTE,6E2259C6-9E26-5923-B341-F4A3BF23FD30,1523557951986146784,2018-04-12 14:32:31.986147 EDT,2018-04-12 14:28:28.046151550~2018-04-12 14:44:35.716129239,src,2447478,355535,file,subject,file->subject,file: /tmp/test,file: /tmp/test,node 355535,>= coverage score (16.528)
2,355657,TP_above_threshold,17.083299637,1,1,Nginx backdoor 12,15,17.083299637,0.000000000,EVENT_EXECUTE,7FF588AF-3819-5BBC-B53C-3E4872570F05,1523558131776142868,2018-04-12 14:35:31.776143 EDT,2018-04-12 14:28:28.046151550~2018-04-12 14:44:35.716129239,dst,2447478,355657,file,subject,file->subject,node 355657,file: /tmp/test,node 355657,>= coverage score (16.528)
3,355641,TP_above_threshold,17.083299637,1,1,Nginx backdoor 12,11,17.083299637,0.000000000,EVENT_EXECUTE,41800DBE-F766-5398-9754-C81E26F42B55,1523558095816150254,2018-04-12 14:34:55.816150 EDT,2018-04-12 14:28:28.046151550~2018-04-12 14:44:35.716129239,dst,2447478,355641,file,subject,file->subject,node 355641,file: /tmp/test,node 355641,>= coverage score (16.528)
4,355572,TP_above_threshold,17.083299637,1,1,Nginx backdoor 12,12,17.083299637,0.000000000,EVENT_EXECUTE,59819D70-6F7F-5353-B723-113206C54D62,1523558011166147460,2018-04-12 14:33:31.166147 EDT,2018-04-12 14:28:28.046151550~2018-04-12 14:44:35.716129239,dst,2447478,355572,file,subject,file->subject,node 355572,file: /tmp/test,node 355572,>= coverage score (16.528)
5,355535,TP_above_threshold,17.083299637,1,1,Nginx backdoor 12,11,17.083299637,0.000000000,EVENT_EXECUTE,6E2259C6-9E26-5923-B341-F4A3BF23FD30,1523557951986146784,2018-04-12 14:32:31.986147 EDT,2018-04-12 14:28:28.046151550~2018-04-12 14:44:35.716129239,dst,2447478,355535,file,subject,file->subject,node 355535,file: /tmp/test,node 355535,>= coverage score (16.528)
6,1219519,TP_above_threshold,16.527532578,1,1,Nginx backdoor 06,3,16.527532578,0.000000000,EVENT_EXECUTE,E3C64B24-4D14-559A-BBB3-34E87DBF25C5,1523028796536154997,2018-04-06 11:33:16.536155 EDT,2018-04-06 11:27:15.786165756~2018-04-06 11:43:40.116143332,src,1219519,228725,file,subject,file->subject,file: /tmp/vUgefal,file: /tmp/vUgefal,node 228725,>= coverage score (16.528)
7,228725,TP_above_threshold,16.527532578,1,1,Nginx backdoor 06,164,16.527532578,0.000000000,EVENT_EXECUTE,E3C64B24-4D14-559A-BBB3-34E87DBF25C5,1523028796536154997,2018-04-06 11:33:16.536155 EDT,2018-04-06 11:27:15.786165756~2018-04-06 11:43:40.116143332,dst,1219519,228725,file,subject,file->subject,node 228725,file: /tmp/vUgefal,node 228725,>= coverage score (16.528)
8,2609543,TP_above_threshold,16.527528763,1,1,Nginx backdoor 13,3,16.527528763,0.000000000,EVENT_EXECUTE,B7428FEB-B40E-5794-99F0-0522769F4B55,1523625146344650401,2018-04-13 09:12:26.344651 EDT,2018-04-13 09:06:41.304653556~2018-04-13 09:21:47.664637287,src,2609543,370961,file,subject,file->subject,file: /tmp/pEja72mA,file: /tmp/pEja72mA,node 370961,>= coverage score (16.528)
9,2445651,TP_above_threshold,16.527528763,1,1,Nginx backdoor 12,4,16.527528763,0.000000000,EVENT_EXECUTE,DB442FC9-5CD9-50AB-B742-057A6F9BB231,1523557208576163772,2018-04-12 14:20:08.576164 EDT,2018-04-12 14:12:42.266175773~2018-04-12 14:28:28.046151550,src,2445651,355316,file,subject,file->subject,file: /tmp/XIM,file: /tmp/XIM,node 355316,>= coverage score (16.528)
10,2444455,TP_above_threshold,16.527528763,1,1,Nginx backdoor 12,4,16.527528763,0.000000000,EVENT_EXECUTE,C00C73B6-F952-5E57-BF20-80413CBA5A52,1523556762536176905,2018-04-12 14:12:42.536177 EDT,2018-04-12 14:12:42.266175773~2018-04-12 14:28:28.046151550,src,2444455,355176,file,subject,file->subject,file: /tmp/minions,file: /tmp/minions,node 355176,>= coverage score (16.528)
11,370961,TP_above_threshold,16.527528763,1,1,Nginx backdoor 13,347,16.527528763,0.000000000,EVENT_EXECUTE,B7428FEB-B40E-5794-99F0-0522769F4B55,1523625146344650401,2018-04-13 09:12:26.344651 EDT,2018-04-13 09:06:41.304653556~2018-04-13 09:21:47.664637287,dst,2609543,370961,file,subject,file->subject,node 370961,file: /tmp/pEja72mA,node 370961,>= coverage score (16.528)
12,355357,TP_above_threshold,16.527528763,1,1,Nginx backdoor 12; Nginx backdoor 13,98,16.527528763,0.000000000,EVENT_EXECUTE,524924BA-2082-5E97-A5F8-299EF2C44A6A,1523557273216165672,2018-04-12 14:21:13.216166 EDT,2018-04-12 14:12:42.266175773~2018-04-12 14:28:28.046151550,dst,2445651,355357,file,subject,file->subject,node 355357,file: /tmp/XIM,node 355357,>= coverage score (16.528)
13,355316,TP_above_threshold,16.527528763,1,1,Nginx backdoor 12,21,16.527528763,0.000000000,EVENT_EXECUTE,DB442FC9-5CD9-50AB-B742-057A6F9BB231,1523557208576163772,2018-04-12 14:20:08.576164 EDT,2018-04-12 14:12:42.266175773~2018-04-12 14:28:28.046151550,dst,2445651,355316,file,subject,file->subject,node 355316,file: /tmp/XIM,node 355316,>= coverage score (16.528)
14,355247,TP_above_threshold,16.527528763,1,1,Nginx backdoor 12,12,16.527528763,0.000000000,EVENT_EXECUTE,6FEFAC0C-064F-5EBB-AAD9-AFCE9AAC8FAF,1523556929346168722,2018-04-12 14:15:29.346169 EDT,2018-04-12 14:12:42.266175773~2018-04-12 14:28:28.046151550,dst,2444455,355247,file,subject,file->subject,node 355247,file: /tmp/minions,node 355247,>= coverage score (16.528)
15,355176,TP_above_threshold,16.527528763,1,1,Nginx backdoor 12,12,16.527528763,0.000000000,EVENT_EXECUTE,C00C73B6-F952-5E57-BF20-80413CBA5A52,1523556762536176905,2018-04-12 14:12:42.536177 EDT,2018-04-12 14:12:42.266175773~2018-04-12 14:28:28.046151550,dst,2444455,355176,file,subject,file->subject,node 355176,file: /tmp/minions,node 355176,>= coverage score (16.528)
16,2442623,TP_above_threshold,16.527526855,1,1,Nginx backdoor 12,4,16.527526855,0.000000000,EVENT_EXECUTE,3A4EE616-BE69-5C68-BB36-C2D9796A6B5B,1523556194106186440,2018-04-12 14:03:14.106186 EDT,2018-04-12 13:57:11.656194988~2018-04-12 14:12:42.246174821,src,2442623,354975,file,subject,file->subject,file: /tmp/tmux-1002,file: /tmp/tmux-1002,node 354975,threshold to coverage (9.821-16.528)
17,355056,TP_above_threshold,16.527526855,1,1,Nginx backdoor 12,11,16.527526855,0.000000000,EVENT_EXECUTE,E458CE74-090D-543A-9DA3-85D1E18F2800,1523556405396185538,2018-04-12 14:06:45.396186 EDT,2018-04-12 13:57:11.656194988~2018-04-12 14:12:42.246174821,dst,2442623,355056,file,subject,file->subject,node 355056,file: /tmp/tmux-1002,node 355056,threshold to coverage (9.821-16.528)
18,354975,TP_above_threshold,16.527526855,1,1,Nginx backdoor 12,11,16.527526855,0.000000000,EVENT_EXECUTE,3A4EE616-BE69-5C68-BB36-C2D9796A6B5B,1523556194106186440,2018-04-12 14:03:14.106186 EDT,2018-04-12 13:57:11.656194988~2018-04-12 14:12:42.246174821,dst,2442623,354975,file,subject,file->subject,node 354975,file: /tmp/tmux-1002,node 354975,threshold to coverage (9.821-16.528)
19,2445298,TP_above_threshold,14.502065659,1,1,Nginx backdoor 12,3,14.502065659,0.000000000,EVENT_EXECUTE,310DD1F1-2D2A-5CDC-8726-0D6296384796,1523557044046166780,2018-04-12 14:17:24.046167 EDT,2018-04-12 14:12:42.266175773~2018-04-12 14:28:28.046151550,src,2445298,355276,file,subject,file->subject,file: /tmp/font,file: /tmp/font,node 355276,threshold to coverage (9.821-16.528)
20,355276,FP_above_threshold,14.502065659,0,1,,1,14.502065659,0.000000000,EVENT_EXECUTE,310DD1F1-2D2A-5CDC-8726-0D6296384796,1523557044046166780,2018-04-12 14:17:24.046167 EDT,2018-04-12 14:12:42.266175773~2018-04-12 14:28:28.046151550,dst,2445298,355276,file,subject,file->subject,node 355276,file: /tmp/font,node 355276,threshold to coverage (9.821-16.528)
21,2446982,TP_above_threshold,13.992912292,1,1,Nginx backdoor 12,3,13.992912292,0.000000000,EVENT_EXECUTE,9A3CA81D-7BD7-5E0C-A5B9-EE6592816B67,1523557737406150415,2018-04-12 14:28:57.406150 EDT,2018-04-12 14:28:28.046151550~2018-04-12 14:44:35.716129239,src,2446982,355470,file,subject,file->subject,file: /tmp/main,file: /tmp/main,node 355470,threshold to coverage (9.821-16.528)
22,355470,TP_above_threshold,13.992912292,1,1,Nginx backdoor 12,11,13.992912292,0.000000000,EVENT_EXECUTE,9A3CA81D-7BD7-5E0C-A5B9-EE6592816B67,1523557737406150415,2018-04-12 14:28:57.406150 EDT,2018-04-12 14:28:28.046151550~2018-04-12 14:44:35.716129239,dst,2446982,355470,file,subject,file->subject,node 355470,file: /tmp/main,node 355470,threshold to coverage (9.821-16.528)
23,2677371,FP_above_threshold,10.641150475,0,1,,1,10.641150475,0.000000000,EVENT_RECVMSG,7439A656-0E51-5D3E-8B05-BA0B6F2C2E60,1523653459954011266,2018-04-13 17:04:19.954011 EDT,2018-04-13 16:50:32.894033031~2018-04-13 17:05:33.744021708,src,2677371,378770,file,subject,file->subject,node 2677371,node 2677371,node 378770,threshold to coverage (9.821-16.528)
24,2677191,FP_above_threshold,10.641150475,0,1,,1,10.641150475,0.000000000,EVENT_RECVMSG,4796DDB4-13A1-5092-B019-56C4B7FC7E09,1523653421584013692,2018-04-13 17:03:41.584014 EDT,2018-04-13 16:50:32.894033031~2018-04-13 17:05:33.744021708,src,2677191,378744,file,subject,file->subject,node 2677191,node 2677191,node 378744,threshold to coverage (9.821-16.528)
25,2676816,FP_above_threshold,10.641150475,0,1,,1,10.641150475,0.000000000,EVENT_RECVMSG,4FF67E5F-0C6B-54A6-A08F-5E675E667DF4,1523653284654020496,2018-04-13 17:01:24.654021 EDT,2018-04-13 16:50:32.894033031~2018-04-13 17:05:33.744021708,src,2676816,378689,file,subject,file->subject,node 2676816,node 2676816,node 378689,threshold to coverage (9.821-16.528)
26,2676357,FP_above_threshold,10.641150475,0,1,,1,10.641150475,0.000000000,EVENT_RECVMSG,791606F2-19DF-52CD-BF93-2C9EC2FF0241,1523653084254022053,2018-04-13 16:58:04.254022 EDT,2018-04-13 16:50:32.894033031~2018-04-13 17:05:33.744021708,src,2676357,378625,file,subject,file->subject,node 2676357,node 2676357,node 378625,threshold to coverage (9.821-16.528)
27,2676298,FP_above_threshold,10.641150475,0,1,,1,10.641150475,0.000000000,EVENT_RECVMSG,77619B4F-6D43-5759-859D-2D9D9CDCCEEF,1523653065894022917,2018-04-13 16:57:45.894023 EDT,2018-04-13 16:50:32.894033031~2018-04-13 17:05:33.744021708,src,2676298,378617,file,subject,file->subject,node 2676298,node 2676298,node 378617,threshold to coverage (9.821-16.528)
28,2676251,FP_above_threshold,10.641150475,0,1,,1,10.641150475,0.000000000,EVENT_RECVMSG,E1A4ABB8-F6C5-523D-BD87-DFD1ACCDAC50,1523653052654021200,2018-04-13 16:57:32.654021 EDT,2018-04-13 16:50:32.894033031~2018-04-13 17:05:33.744021708,src,2676251,378598,file,subject,file->subject,node 2676251,node 2676251,node 378598,threshold to coverage (9.821-16.528)
29,2676130,FP_above_threshold,10.641150475,0,1,,1,10.641150475,0.000000000,EVENT_RECVMSG,9E00B3E7-F769-5139-931B-4D5B9C2F1071,1523653008144022510,2018-04-13 16:56:48.144022 EDT,2018-04-13 16:50:32.894033031~2018-04-13 17:05:33.744021708,src,2676130,378581,file,subject,file->subject,node 2676130,node 2676130,node 378581,threshold to coverage (9.821-16.528)
30,2676069,FP_above_threshold,10.641150475,0,1,,1,10.641150475,0.000000000,EVENT_RECVMSG,74FEEE90-83F3-5C76-A1F8-C0E2013BDF69,1523652987444024143,2018-04-13 16:56:27.444024 EDT,2018-04-13 16:50:32.894033031~2018-04-13 17:05:33.744021708,src,2676069,378563,file,subject,file->subject,node 2676069,node 2676069,node 378563,threshold to coverage (9.821-16.528)
31,2675816,FP_above_threshold,10.641150475,0,1,,1,10.641150475,0.000000000,EVENT_RECVMSG,550CA090-2179-5F45-A09A-2AEFEF0C2C84,1523652884054024015,2018-04-13 16:54:44.054024 EDT,2018-04-13 16:50:32.894033031~2018-04-13 17:05:33.744021708,src,2675816,378530,file,subject,file->subject,node 2675816,node 2675816,node 378530,threshold to coverage (9.821-16.528)
32,2675507,FP_above_threshold,10.641150475,0,1,,1,10.641150475,0.000000000,EVENT_RECVMSG,7AFC12F9-3916-58F3-BD56-722CC00FB18D,1523652742134031308,2018-04-13 16:52:22.134031 EDT,2018-04-13 16:50:32.894033031~2018-04-13 17:05:33.744021708,src,2675507,378491,file,subject,file->subject,node 2675507,node 2675507,node 378491,threshold to coverage (9.821-16.528)
33,2672612,FP_above_threshold,10.641150475,0,1,,1,10.641150475,0.000000000,EVENT_RECVMSG,A795D75A-FC01-5E78-82B4-7D09B37ADC23,1523651535954055182,2018-04-13 16:32:15.954055 EDT,2018-04-13 16:20:13.244073075~2018-04-13 16:35:25.434051827,src,2672612,378168,file,subject,file->subject,node 2672612,node 2672612,node 378168,threshold to coverage (9.821-16.528)
34,2671701,FP_above_threshold,10.641150475,0,1,,1,10.641150475,0.000000000,EVENT_RECVMSG,6F5B1539-B08E-5854-998B-8C078880E7A2,1523651230944064230,2018-04-13 16:27:10.944064 EDT,2018-04-13 16:20:13.244073075~2018-04-13 16:35:25.434051827,src,2671701,378033,file,subject,file->subject,node 2671701,node 2671701,node 378033,threshold to coverage (9.821-16.528)
35,2670431,FP_above_threshold,10.641150475,0,1,,1,10.641150475,0.000000000,EVENT_RECVMSG,D82075E6-AD22-5587-98D0-BE454A01D219,1523650715734074427,2018-04-13 16:18:35.734074 EDT,2018-04-13 16:05:09.954092855~2018-04-13 16:20:13.234075704,src,2670431,377909,file,subject,file->subject,node 2670431,node 2670431,node 377909,threshold to coverage (9.821-16.528)
36,2669357,FP_above_threshold,10.641150475,0,1,,1,10.641150475,0.000000000,EVENT_RECVMSG,B018EAB3-C225-5AE9-AD94-604441DDC5C8,1523650374304080952,2018-04-13 16:12:54.304081 EDT,2018-04-13 16:05:09.954092855~2018-04-13 16:20:13.234075704,src,2669357,377774,file,subject,file->subject,node 2669357,node 2669357,node 377774,threshold to coverage (9.821-16.528)
37,2669012,FP_above_threshold,10.641150475,0,1,,1,10.641150475,0.000000000,EVENT_RECVMSG,6E7ACB2F-F9BA-51E8-A4A3-7BC1FA9951E9,1523650226254085027,2018-04-13 16:10:26.254085 EDT,2018-04-13 16:05:09.954092855~2018-04-13 16:20:13.234075704,src,2669012,377728,file,subject,file->subject,node 2669012,node 2669012,node 377728,threshold to coverage (9.821-16.528)
38,2668483,FP_above_threshold,10.641150475,0,1,,1,10.641150475,0.000000000,EVENT_RECVMSG,28E9E2FC-34B3-5116-9750-D2355E487E08,1523650003324091651,2018-04-13 16:06:43.324092 EDT,2018-04-13 16:05:09.954092855~2018-04-13 16:20:13.234075704,src,2668483,377675,file,subject,file->subject,node 2668483,node 2668483,node 377675,threshold to coverage (9.821-16.528)
39,2653365,FP_above_threshold,10.641150475,0,1,,1,10.641150475,0.000000000,EVENT_RECVMSG,8A2C2A61-CF27-55DB-A6BB-F2EC78AB02F3,1523643262954248003,2018-04-13 14:14:22.954248 EDT,2018-04-13 14:01:29.844258300~2018-04-13 14:16:29.834238343,src,2653365,376016,file,subject,file->subject,node 2653365,node 2653365,node 376016,threshold to coverage (9.821-16.528)
40,2652900,FP_above_threshold,10.641150475,0,1,,1,10.641150475,0.000000000,EVENT_RECVMSG,A3BFB03E-0E03-508D-90FF-8B636DA24037,1523643057594246773,2018-04-13 14:10:57.594247 EDT,2018-04-13 14:01:29.844258300~2018-04-13 14:16:29.834238343,src,2652900,375948,file,subject,file->subject,node 2652900,node 2652900,node 375948,threshold to coverage (9.821-16.528)
41,2651615,FP_above_threshold,10.641150475,0,1,,1,10.641150475,0.000000000,EVENT_RECVMSG,AF5D9212-9CCC-5BC7-BC60-9690C05CB0E9,1523642632444256358,2018-04-13 14:03:52.444256 EDT,2018-04-13 14:01:29.844258300~2018-04-13 14:16:29.834238343,src,2651615,375799,file,subject,file->subject,node 2651615,node 2651615,node 375799,threshold to coverage (9.821-16.528)
42,2646039,FP_above_threshold,10.641150475,0,1,,1,10.641150475,0.000000000,EVENT_RECVMSG,98AD2F3B-BCB4-56EF-932F-07F696885F69,1523640697554299109,2018-04-13 13:31:37.554299 EDT,2018-04-13 13:31:13.974296939~2018-04-13 13:46:16.514289100,src,2646039,375085,file,subject,file->subject,node 2646039,node 2646039,node 375085,threshold to coverage (9.821-16.528)
43,2645806,FP_above_threshold,10.641150475,0,1,,1,10.641150475,0.000000000,EVENT_RECVMSG,1861C5BD-340C-5A76-A2B2-D7D3EE16AF68,1523640608434301538,2018-04-13 13:30:08.434302 EDT,2018-04-13 13:15:43.584318746~2018-04-13 13:31:13.974296939,src,2645806,375056,file,subject,file->subject,node 2645806,node 2645806,node 375056,threshold to coverage (9.821-16.528)
44,2645678,FP_above_threshold,10.641150475,0,1,,1,10.641150475,0.000000000,EVENT_RECVMSG,B02F8021-8107-5978-8F3B-23EB818139E2,1523640556864300659,2018-04-13 13:29:16.864301 EDT,2018-04-13 13:15:43.584318746~2018-04-13 13:31:13.974296939,src,2645678,375036,file,subject,file->subject,node 2645678,node 2645678,node 375036,threshold to coverage (9.821-16.528)
