case,rank,node_id,node_group,operation,type_pair,group,original_loss,ablated_loss,loss_drop_when_zeroed,captum_attr_sum,captum_attr_mean
TN_high_below_threshold:1:54160,1,54160,TN_high_below_threshold,RENAME,subject->file,src_embedding,19.018003464,10.294039726,8.723963737,1116.667358398,8.723963737
TN_high_below_threshold:1:54160,1,54160,TN_high_below_threshold,RENAME,subject->file,src_type,19.018003464,17.221771240,1.796232224,5.388696671,1.796232224
TN_high_below_threshold:1:54160,1,54160,TN_high_below_threshold,RENAME,subject->file,dst_embedding,19.018003464,11.574465752,7.443537712,952.772888184,7.443538189
TN_high_below_threshold:1:54160,1,54160,TN_high_below_threshold,RENAME,subject->file,dst_type,19.018003464,20.303005219,-1.285001755,-3.855005264,-1.285001755
TN_high_below_threshold:2:3740,2,3740,TN_high_below_threshold,RENAME,subject->file,src_embedding,19.018003464,10.294039726,8.723963737,1116.667358398,8.723963737
TN_high_below_threshold:2:3740,2,3740,TN_high_below_threshold,RENAME,subject->file,src_type,19.018003464,17.221771240,1.796232224,5.388696671,1.796232224
TN_high_below_threshold:2:3740,2,3740,TN_high_below_threshold,RENAME,subject->file,dst_embedding,19.018003464,11.574465752,7.443537712,952.772888184,7.443538189
TN_high_below_threshold:2:3740,2,3740,TN_high_below_threshold,RENAME,subject->file,dst_type,19.018003464,20.303005219,-1.285001755,-3.855005264,-1.285001755
FN_below_threshold:3:50665,3,50665,FN_below_threshold,MODIFY,subject->file,src_embedding,16.262300491,0.342069566,15.920230925,2037.789306641,15.920228958
FN_below_threshold:3:50665,3,50665,FN_below_threshold,MODIFY,subject->file,src_type,16.262300491,23.390430450,-7.128129959,-21.384389877,-7.128129959
FN_below_threshold:3:50665,3,50665,FN_below_threshold,MODIFY,subject->file,dst_embedding,16.262300491,16.111457825,0.150842667,19.307861328,0.150842667
FN_below_threshold:3:50665,3,50665,FN_below_threshold,MODIFY,subject->file,dst_type,16.262300491,16.567428589,-0.305128098,-0.915384293,-0.305128098
TN_high_below_threshold:4:3398,4,3398,TN_high_below_threshold,MODIFY,subject->file,src_embedding,16.262300491,0.342069566,15.920230925,2037.789306641,15.920228958
TN_high_below_threshold:4:3398,4,3398,TN_high_below_threshold,MODIFY,subject->file,src_type,16.262300491,23.390430450,-7.128129959,-21.384389877,-7.128129959
TN_high_below_threshold:4:3398,4,3398,TN_high_below_threshold,MODIFY,subject->file,dst_embedding,16.262300491,16.111457825,0.150842667,19.307861328,0.150842667
TN_high_below_threshold:4:3398,4,3398,TN_high_below_threshold,MODIFY,subject->file,dst_type,16.262300491,16.567428589,-0.305128098,-0.915384293,-0.305128098
TN_high_below_threshold:5:94474,5,94474,TN_high_below_threshold,RENAME,subject->file,src_embedding,15.577589035,12.566656113,3.010932922,385.399414062,3.010932922
TN_high_below_threshold:5:94474,5,94474,TN_high_below_threshold,RENAME,subject->file,src_type,15.577589035,13.136298180,2.441290855,7.323872566,2.441290855
TN_high_below_threshold:5:94474,5,94474,TN_high_below_threshold,RENAME,subject->file,dst_embedding,15.577589035,5.902541637,9.675047398,1238.406127930,9.675047874
TN_high_below_threshold:5:94474,5,94474,TN_high_below_threshold,RENAME,subject->file,dst_type,15.577589035,16.879608154,-1.302019119,-3.906057358,-1.302019119
TN_high_below_threshold:6:94471,6,94471,TN_high_below_threshold,RENAME,subject->file,src_embedding,15.577589035,12.566656113,3.010932922,385.399414062,3.010932922
TN_high_below_threshold:6:94471,6,94471,TN_high_below_threshold,RENAME,subject->file,src_type,15.577589035,13.136298180,2.441290855,7.323872566,2.441290855
TN_high_below_threshold:6:94471,6,94471,TN_high_below_threshold,RENAME,subject->file,dst_embedding,15.577589035,5.902541637,9.675047398,1238.406127930,9.675047874
TN_high_below_threshold:6:94471,6,94471,TN_high_below_threshold,RENAME,subject->file,dst_type,15.577589035,16.879608154,-1.302019119,-3.906057358,-1.302019119
TN_high_below_threshold:7:94448,7,94448,TN_high_below_threshold,RENAME,subject->file,src_embedding,15.577589035,12.566656113,3.010932922,385.399414062,3.010932922
TN_high_below_threshold:7:94448,7,94448,TN_high_below_threshold,RENAME,subject->file,src_type,15.577589035,13.136298180,2.441290855,7.323872566,2.441290855
TN_high_below_threshold:7:94448,7,94448,TN_high_below_threshold,RENAME,subject->file,dst_embedding,15.577589035,5.902541637,9.675047398,1238.406127930,9.675047874
TN_high_below_threshold:7:94448,7,94448,TN_high_below_threshold,RENAME,subject->file,dst_type,15.577589035,16.879608154,-1.302019119,-3.906057358,-1.302019119
TN_high_below_threshold:8:94447,8,94447,TN_high_below_threshold,RENAME,subject->file,src_embedding,15.577589035,12.566656113,3.010932922,385.399414062,3.010932922
TN_high_below_threshold:8:94447,8,94447,TN_high_below_threshold,RENAME,subject->file,src_type,15.577589035,13.136298180,2.441290855,7.323872566,2.441290855
TN_high_below_threshold:8:94447,8,94447,TN_high_below_threshold,RENAME,subject->file,dst_embedding,15.577589035,5.902541637,9.675047398,1238.406127930,9.675047874
TN_high_below_threshold:8:94447,8,94447,TN_high_below_threshold,RENAME,subject->file,dst_type,15.577589035,16.879608154,-1.302019119,-3.906057358,-1.302019119
TN_high_below_threshold:9:10426,9,10426,TN_high_below_threshold,RENAME,subject->file,src_embedding,15.577589035,12.566656113,3.010932922,385.399414062,3.010932922
TN_high_below_threshold:9:10426,9,10426,TN_high_below_threshold,RENAME,subject->file,src_type,15.577589035,13.136298180,2.441290855,7.323872566,2.441290855
TN_high_below_threshold:9:10426,9,10426,TN_high_below_threshold,RENAME,subject->file,dst_embedding,15.577589035,5.902541637,9.675047398,1238.406127930,9.675047874
TN_high_below_threshold:9:10426,9,10426,TN_high_below_threshold,RENAME,subject->file,dst_type,15.577589035,16.879608154,-1.302019119,-3.906057358,-1.302019119
TN_high_below_threshold:10:281405,10,281405,TN_high_below_threshold,RENAME,subject->file,src_embedding,15.024264336,12.406529427,2.617734909,335.070068359,2.617734909
TN_high_below_threshold:10:281405,10,281405,TN_high_below_threshold,RENAME,subject->file,src_type,15.024264336,12.527819633,2.496444702,7.489334106,2.496444702
TN_high_below_threshold:10:281405,10,281405,TN_high_below_threshold,RENAME,subject->file,dst_embedding,15.024264336,5.902660370,9.121603966,1167.565307617,9.121603966
TN_high_below_threshold:10:281405,10,281405,TN_high_below_threshold,RENAME,subject->file,dst_type,15.024264336,16.345424652,-1.321160316,-3.963480949,-1.321160316
TN_high_below_threshold:11:281403,11,281403,TN_high_below_threshold,RENAME,subject->file,src_embedding,15.024264336,12.406529427,2.617734909,335.070068359,2.617734909
TN_high_below_threshold:11:281403,11,281403,TN_high_below_threshold,RENAME,subject->file,src_type,15.024264336,12.527819633,2.496444702,7.489334106,2.496444702
TN_high_below_threshold:11:281403,11,281403,TN_high_below_threshold,RENAME,subject->file,dst_embedding,15.024264336,5.902660370,9.121603966,1167.565307617,9.121603966
