node_group,node_group_label,operation,type_pair,target_role,src_label,dst_label,attack,short_attack,endpoint_pair,short_endpoint_pair,count,fraction
TN_high_below_threshold,Top 500 benign nodes just below threshold,RENAME,subject->file,dst,subject: /Device/HarddiskVolume1/Windows/system32/svchost.exe,file: /Device/HarddiskVolume1/WINDOWS/SERVICEPROFILES/LOCALSERVICE/APPDATA/LOCAL/FONTCACHE/~FONTCACHE-S-1-5-18.DAT,benign,benign,subject: /Device/HarddiskVolume1/Windows/system32/svchost.exe -> file: /Device/HarddiskVolume1/WINDOWS/SERVICEPROFILES/LOCALSERVICE/APPDATA/LOCAL/FONTCACHE/~FONTCACHE-S-1-5-18.DAT,system32/svchost.exe --> FONTCACHE/~FONTCACHE-S-1-5-18.DAT,7,0.014000000
TN_high_below_threshold,Top 500 benign nodes just below threshold,CREATE,subject->file,dst,subject: System,file: /Device/HarddiskVolume1/Windows/System32/WDI/LogFiles/SecondaryLogonCKCL.etl,benign,benign,subject: System -> file: /Device/HarddiskVolume1/Windows/System32/WDI/LogFiles/SecondaryLogonCKCL.etl,System --> LogFiles/SecondaryLogonCKCL.etl,5,0.010000000
TN_high_below_threshold,Top 500 benign nodes just below threshold,RENAME,subject->file,src,subject: /Device/HarddiskVolume1/Windows/system32/svchost.exe,file: /Device/HarddiskVolume1/WINDOWS/SERVICEPROFILES/LOCALSERVICE/APPDATA/LOCAL/FONTCACHE/~FONTCACHE-S-1-5-18.DAT,benign,benign,subject: /Device/HarddiskVolume1/Windows/system32/svchost.exe -> file: /Device/HarddiskVolume1/WINDOWS/SERVICEPROFILES/LOCALSERVICE/APPDATA/LOCAL/FONTCACHE/~FONTCACHE-S-1-5-18.DAT,system32/svchost.exe --> FONTCACHE/~FONTCACHE-S-1-5-18.DAT,4,0.008000000
TN_high_below_threshold,Top 500 benign nodes just below threshold,DELETE,subject->file,dst,subject: System,file: /Device/HarddiskVolume1/Windows/System32/LogFiles/WMI/RtBackup/EtwRTrundownCollector.etl,benign,benign,subject: System -> file: /Device/HarddiskVolume1/Windows/System32/LogFiles/WMI/RtBackup/EtwRTrundownCollector.etl,System --> RtBackup/EtwRTrundownCollector.etl,3,0.006000000
TN_high_below_threshold,Top 500 benign nodes just below threshold,CREATE,subject->file,dst,subject: System,file: /Device/HarddiskVolume1/Windows/System32/LogFiles/WMI/RtBackup/EtwRTMsULtrace.etl,benign,benign,subject: System -> file: /Device/HarddiskVolume1/Windows/System32/LogFiles/WMI/RtBackup/EtwRTMsULtrace.etl,System --> RtBackup/EtwRTMsULtrace.etl,3,0.006000000
TN_high_below_threshold,Top 500 benign nodes just below threshold,CREATE,subject->file,dst,subject: System,file: /Device/HarddiskVolume1/Windows/System32/LogFiles/WMI/RtBackup/EtwRTMSNT_SystemTrace.etl,benign,benign,subject: System -> file: /Device/HarddiskVolume1/Windows/System32/LogFiles/WMI/RtBackup/EtwRTMSNT_SystemTrace.etl,System --> RtBackup/EtwRTMSNT_SystemTrace.etl,3,0.006000000
TN_high_below_threshold,Top 500 benign nodes just below threshold,RENAME,subject->file,dst,subject: /Device/HarddiskVolume1/Windows/system32/svchost.exe,file: /Device/HarddiskVolume1/PROGRAMDATA/USOPRIVATE/UPDATESTORE/UPDATESTORE51B519D5-B6F5-4333-8DF6-E74D7C9AEAD4.XML,benign,benign,subject: /Device/HarddiskVolume1/Windows/system32/svchost.exe -> file: /Device/HarddiskVolume1/PROGRAMDATA/USOPRIVATE/UPDATESTORE/UPDATESTORE51B519D5-B6F5-4333-8DF6-E74D7C9AEAD4.XML,system32/svchost.exe --> UPDATESTORE/UPDATESTORE51B519D5-B6F5-4333-8DF6-E74D7C9AEAD4.XML,3,0.006000000
TN_high_below_threshold,Top 500 benign nodes just below threshold,CREATE,subject->file,dst,"subject: /Device/HarddiskVolume1/Windows/system32/wbem/wmiprvse.exe | ""C:/Windows/SystemApps/Microsoft.Windows.Cortana_cw5n1h2txyewy/SearchUI.exe"" -ServerName:CortanaUI.AppXa50dqqa5gqv4a428c9y1jjw7m3btvepj.mca",file: /Device/HarddiskVolume1/Users/dcoombes/AppData/Local/Packages/microsoft.windows.cortana_cw5n1h2txyewy/AC/Microsoft/Internet Explorer/DOMStore/KI98MCVG/www.bing[1].xml,benign,benign,"subject: /Device/HarddiskVolume1/Windows/system32/wbem/wmiprvse.exe | ""C:/Windows/SystemApps/Microsoft.Windows.Cortana_cw5n1h2txyewy/SearchUI.exe"" -ServerName:CortanaUI.AppXa50dqqa5gqv4a428c9y1jjw7m3btvepj.mca -> file: /Device/HarddiskVolume1/Users/dcoombes/AppData/Local/Packages/microsoft.windows.cortana_cw5n1h2txyewy/AC/Microsoft/Internet Explorer/DOMStore/KI98MCVG/www.bing[1].xml",wbem/wmiprvse.exe --> KI98MCVG/www.bing[1].xml,3,0.006000000
TN_high_below_threshold,Top 500 benign nodes just below threshold,RENAME,subject->file,dst,subject: /Device/HarddiskVolume1/Windows/system32/svchost.exe,file: /Device/HarddiskVolume1/Users/dcoombes/AppData/Local/Microsoft/Windows/UPPS/UPPS.bin,benign,benign,subject: /Device/HarddiskVolume1/Windows/system32/svchost.exe -> file: /Device/HarddiskVolume1/Users/dcoombes/AppData/Local/Microsoft/Windows/UPPS/UPPS.bin,system32/svchost.exe --> UPPS/UPPS.bin,3,0.006000000
TN_high_below_threshold,Top 500 benign nodes just below threshold,MODIFY,subject->file,dst,subject: taskhostw.exe | taskhostw.exe SYSTEM,file: /Device/HarddiskVolume1/Windows/system32/config/systemprofile/AppData/LocalLow/Microsoft/CryptnetUrlCache/Content/CE9BBF0C72D6E55BD499A1C5FB58DB25,benign,benign,subject: taskhostw.exe | taskhostw.exe SYSTEM -> file: /Device/HarddiskVolume1/Windows/system32/config/systemprofile/AppData/LocalLow/Microsoft/CryptnetUrlCache/Content/CE9BBF0C72D6E55BD499A1C5FB58DB25,taskhostw.exe --> Content/CE9BBF0C72D6E55BD499A1C5FB58DB25,2,0.004000000
TN_high_below_threshold,Top 500 benign nodes just below threshold,MODIFY,subject->file,src,subject: taskhostw.exe | taskhostw.exe SYSTEM,file: /Device/HarddiskVolume1/Windows/system32/config/systemprofile/AppData/LocalLow/Microsoft/CryptnetUrlCache/Content/CE9BBF0C72D6E55BD499A1C5FB58DB25,benign,benign,subject: taskhostw.exe | taskhostw.exe SYSTEM -> file: /Device/HarddiskVolume1/Windows/system32/config/systemprofile/AppData/LocalLow/Microsoft/CryptnetUrlCache/Content/CE9BBF0C72D6E55BD499A1C5FB58DB25,taskhostw.exe --> Content/CE9BBF0C72D6E55BD499A1C5FB58DB25,2,0.004000000
TN_high_below_threshold,Top 500 benign nodes just below threshold,MODIFY,subject->file,dst,subject: taskhostw.exe | taskhostw.exe SYSTEM,file: /Device/HarddiskVolume1/Windows/system32/config/systemprofile/AppData/LocalLow/Microsoft/CryptnetUrlCache/MetaData/CE9BBF0C72D6E55BD499A1C5FB58DB25,benign,benign,subject: taskhostw.exe | taskhostw.exe SYSTEM -> file: /Device/HarddiskVolume1/Windows/system32/config/systemprofile/AppData/LocalLow/Microsoft/CryptnetUrlCache/MetaData/CE9BBF0C72D6E55BD499A1C5FB58DB25,taskhostw.exe --> MetaData/CE9BBF0C72D6E55BD499A1C5FB58DB25,2,0.004000000
TN_high_below_threshold,Top 500 benign nodes just below threshold,CREATE,subject->file,dst,subject: taskhostw.exe,file: /Device/HarddiskVolume1/ProgramData/Microsoft/Windows/Power Efficiency Diagnostics/energy-trace.etl,benign,benign,subject: taskhostw.exe -> file: /Device/HarddiskVolume1/ProgramData/Microsoft/Windows/Power Efficiency Diagnostics/energy-trace.etl,taskhostw.exe --> Power Efficiency Diagnostics/energy-trace.etl,2,0.004000000
TN_high_below_threshold,Top 500 benign nodes just below threshold,RENAME,subject->file,dst,subject: /Device/HarddiskVolume1/Windows/system32/svchost.exe,file: /Device/HarddiskVolume1/WINDOWS/SERVICEPROFILES/LOCALSERVICE/APPDATA/LOCAL/FONTCACHE/~FONTCACHE-S-1-5-21-4190936083-3304963419-1584388968-3196.DAT,benign,benign,subject: /Device/HarddiskVolume1/Windows/system32/svchost.exe -> file: /Device/HarddiskVolume1/WINDOWS/SERVICEPROFILES/LOCALSERVICE/APPDATA/LOCAL/FONTCACHE/~FONTCACHE-S-1-5-21-4190936083-3304963419-1584388968-3196.DAT,system32/svchost.exe --> FONTCACHE/~FONTCACHE-S-1-5-21-4190936083-3304963419-1584388968-3196.DAT,2,0.004000000
