rank,node_id,node_group,score,label,pred_above_threshold,attacks,incident_edges,responsible_loss,score_minus_responsible_loss,operation,event_uuid,time_raw,time_eastern,window,target_role,srcnode,dstnode,src_type,dst_type,type_pair,node_label_text,src_label,dst_label,score_band
1,54160,TN_high_below_threshold,19.017999649,0,0,,1,19.017999649,0.000000000,RENAME,848e6426-c0ee-4608-abea-d2a0206a0338,1569334263676000000,2019-09-24 10:11:03.676000 EDT,2019-09-24 10:10:51.102000000~2019-09-24 10:11:23.566000000,dst,3740,54160,subject,file,subject->file,file: /Device/HarddiskVolume1/Users/dcoombes/AppData/Local/Microsoft/OneDrive/logs/Personal/TraceArchive.6816.0313-45.etl,"subject: /Device/HarddiskVolume1/Windows/system32/SearchProtocolHost.exe | ""C:/Windows/system32/SearchProtocolHost.exe"" Global/UsGthrFltPipeMssGthrPipe191_ Global/UsGthrCtrlFltPipeMssGthrPipe191 1 -2147483646 ""Software/Microsoft/Windows Search"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT; MS Search 4.0 Robot)"" ""C:/ProgramData/Microsoft/Search/Data/Temp/usgthrsvc"" ""DownLevelDaemon"" ",file: /Device/HarddiskVolume1/Users/dcoombes/AppData/Local/Microsoft/OneDrive/logs/Personal/TraceArchive.6816.0313-45.etl,coverage score to threshold (16.262-22.605)
2,3740,TN_high_below_threshold,19.017999649,0,0,,61,19.017999649,0.000000000,RENAME,848e6426-c0ee-4608-abea-d2a0206a0338,1569334263676000000,2019-09-24 10:11:03.676000 EDT,2019-09-24 10:10:51.102000000~2019-09-24 10:11:23.566000000,src,3740,54160,subject,file,subject->file,"subject: /Device/HarddiskVolume1/Windows/system32/SearchProtocolHost.exe | ""C:/Windows/system32/SearchProtocolHost.exe"" Global/UsGthrFltPipeMssGthrPipe191_ Global/UsGthrCtrlFltPipeMssGthrPipe191 1 -2147483646 ""Software/Microsoft/Windows Search"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT; MS Search 4.0 Robot)"" ""C:/ProgramData/Microsoft/Search/Data/Temp/usgthrsvc"" ""DownLevelDaemon"" ","subject: /Device/HarddiskVolume1/Windows/system32/SearchProtocolHost.exe | ""C:/Windows/system32/SearchProtocolHost.exe"" Global/UsGthrFltPipeMssGthrPipe191_ Global/UsGthrCtrlFltPipeMssGthrPipe191 1 -2147483646 ""Software/Microsoft/Windows Search"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT; MS Search 4.0 Robot)"" ""C:/ProgramData/Microsoft/Search/Data/Temp/usgthrsvc"" ""DownLevelDaemon"" ",file: /Device/HarddiskVolume1/Users/dcoombes/AppData/Local/Microsoft/OneDrive/logs/Personal/TraceArchive.6816.0313-45.etl,coverage score to threshold (16.262-22.605)
3,50665,FN_below_threshold,16.262302399,1,0,OPTC h051 attack,7170,16.262302399,0.000000000,MODIFY,adab3811-5487-448d-9b60-5a654bf92dce,1569328821024000000,2019-09-24 08:40:21.024000 EDT,2019-09-24 08:40:10.525000000~2019-09-24 08:40:41.242000000,dst,3398,50665,subject,file,subject->file,node 50665,subject: taskhostw.exe | taskhostw.exe SYSTEM,node 50665,coverage score to threshold (16.262-22.605)
4,3398,TN_high_below_threshold,16.262302399,0,0,,40,16.262302399,0.000000000,MODIFY,adab3811-5487-448d-9b60-5a654bf92dce,1569328821024000000,2019-09-24 08:40:21.024000 EDT,2019-09-24 08:40:10.525000000~2019-09-24 08:40:41.242000000,src,3398,50665,subject,file,subject->file,subject: taskhostw.exe | taskhostw.exe SYSTEM,subject: taskhostw.exe | taskhostw.exe SYSTEM,node 50665,coverage score to threshold (16.262-22.605)
5,94474,TN_high_below_threshold,15.577588081,0,0,,4,15.577588081,0.000000000,RENAME,596fdff0-90d4-4c71-89c1-33d0b9152e60,1569433475604000000,2019-09-25 13:44:35.604000 EDT,2019-09-25 13:44:31.251000000~2019-09-25 13:45:05.409000000,dst,10426,94474,subject,file,subject->file,file: /Device/HarddiskVolume1/Users/sysadmin/AppData/Local/Packages/Microsoft.Windows.Cortana_cw5n1h2txyewy/LocalState/DeviceSearchCache/AppCache132139070710112134.txt.~tmp,"subject: /Device/HarddiskVolume1/Windows/system32/svchost.exe | ""C:/Windows/SystemApps/Microsoft.Windows.Cortana_cw5n1h2txyewy/SearchUI.exe"" -ServerName:CortanaUI.AppXa50dqqa5gqv4a428c9y1jjw7m3btvepj.mca",file: /Device/HarddiskVolume1/Users/sysadmin/AppData/Local/Packages/Microsoft.Windows.Cortana_cw5n1h2txyewy/LocalState/DeviceSearchCache/AppCache132139070710112134.txt.~tmp,6.000 to coverage score (16.262)
6,94471,TN_high_below_threshold,15.577588081,0,0,,6,15.577588081,0.000000000,RENAME,48e06faa-605a-4f0e-80a7-1d8f0e3e64dc,1569433475604000000,2019-09-25 13:44:35.604000 EDT,2019-09-25 13:44:31.251000000~2019-09-25 13:45:05.409000000,dst,10426,94471,subject,file,subject->file,file: /Device/HarddiskVolume1/Users/sysadmin/AppData/Local/Packages/Microsoft.Windows.Cortana_cw5n1h2txyewy/LocalState/DeviceSearchCache/AppCache132139070710112134.txt,"subject: /Device/HarddiskVolume1/Windows/system32/svchost.exe | ""C:/Windows/SystemApps/Microsoft.Windows.Cortana_cw5n1h2txyewy/SearchUI.exe"" -ServerName:CortanaUI.AppXa50dqqa5gqv4a428c9y1jjw7m3btvepj.mca",file: /Device/HarddiskVolume1/Users/sysadmin/AppData/Local/Packages/Microsoft.Windows.Cortana_cw5n1h2txyewy/LocalState/DeviceSearchCache/AppCache132139070710112134.txt,6.000 to coverage score (16.262)
7,94448,TN_high_below_threshold,15.577588081,0,0,,4,15.577588081,0.000000000,RENAME,4626ec18-ff58-44a6-bdc4-8747e9a711fa,1569433469018000000,2019-09-25 13:44:29.018000 EDT,2019-09-25 13:43:59.873000000~2019-09-25 13:44:31.251000000,dst,10426,94448,subject,file,subject->file,file: /Device/HarddiskVolume1/Users/sysadmin/AppData/Local/Packages/Microsoft.Windows.Cortana_cw5n1h2txyewy/LocalState/DeviceSearchCache/AppCache132139070641515866.txt,"subject: /Device/HarddiskVolume1/Windows/system32/svchost.exe | ""C:/Windows/SystemApps/Microsoft.Windows.Cortana_cw5n1h2txyewy/SearchUI.exe"" -ServerName:CortanaUI.AppXa50dqqa5gqv4a428c9y1jjw7m3btvepj.mca",file: /Device/HarddiskVolume1/Users/sysadmin/AppData/Local/Packages/Microsoft.Windows.Cortana_cw5n1h2txyewy/LocalState/DeviceSearchCache/AppCache132139070641515866.txt,6.000 to coverage score (16.262)
8,94447,TN_high_below_threshold,15.577588081,0,0,,3,15.577588081,0.000000000,RENAME,57715f00-3528-441f-816e-936b04693e62,1569433469018000000,2019-09-25 13:44:29.018000 EDT,2019-09-25 13:43:59.873000000~2019-09-25 13:44:31.251000000,dst,10426,94447,subject,file,subject->file,file: /Device/HarddiskVolume1/Users/sysadmin/AppData/Local/Packages/Microsoft.Windows.Cortana_cw5n1h2txyewy/LocalState/DeviceSearchCache/AppCache132139070641515866.txt.~tmp,"subject: /Device/HarddiskVolume1/Windows/system32/svchost.exe | ""C:/Windows/SystemApps/Microsoft.Windows.Cortana_cw5n1h2txyewy/SearchUI.exe"" -ServerName:CortanaUI.AppXa50dqqa5gqv4a428c9y1jjw7m3btvepj.mca",file: /Device/HarddiskVolume1/Users/sysadmin/AppData/Local/Packages/Microsoft.Windows.Cortana_cw5n1h2txyewy/LocalState/DeviceSearchCache/AppCache132139070641515866.txt.~tmp,6.000 to coverage score (16.262)
9,10426,TN_high_below_threshold,15.577588081,0,0,,489,15.577588081,0.000000000,RENAME,4626ec18-ff58-44a6-bdc4-8747e9a711fa,1569433469018000000,2019-09-25 13:44:29.018000 EDT,2019-09-25 13:43:59.873000000~2019-09-25 13:44:31.251000000,src,10426,94448,subject,file,subject->file,"subject: /Device/HarddiskVolume1/Windows/system32/svchost.exe | ""C:/Windows/SystemApps/Microsoft.Windows.Cortana_cw5n1h2txyewy/SearchUI.exe"" -ServerName:CortanaUI.AppXa50dqqa5gqv4a428c9y1jjw7m3btvepj.mca","subject: /Device/HarddiskVolume1/Windows/system32/svchost.exe | ""C:/Windows/SystemApps/Microsoft.Windows.Cortana_cw5n1h2txyewy/SearchUI.exe"" -ServerName:CortanaUI.AppXa50dqqa5gqv4a428c9y1jjw7m3btvepj.mca",file: /Device/HarddiskVolume1/Users/sysadmin/AppData/Local/Packages/Microsoft.Windows.Cortana_cw5n1h2txyewy/LocalState/DeviceSearchCache/AppCache132139070641515866.txt,6.000 to coverage score (16.262)
10,281405,TN_high_below_threshold,15.024265289,0,0,,3,15.024265289,0.000000000,RENAME,39bb8bfc-2681-4374-a86a-764027225858,1569221026801000000,2019-09-23 02:43:46.801000 EDT,2019-09-23 02:43:39.079000000~2019-09-23 02:44:19.995000000,dst,33819,281405,subject,file,subject->file,file: /Device/HarddiskVolume1/Users/dcoombes/AppData/Local/Packages/Microsoft.Windows.Cortana_cw5n1h2txyewy/LocalState/DeviceSearchCache/AppCache132136946180690686.txt~RFc76069b.TMP,"subject: /Device/HarddiskVolume1/Windows/system32/conhost.exe | ""C:/Windows/system32/backgroundTaskHost.exe"" -ServerName:CortanaUI.AppXy7vb4pc2dr3kc93kfc509b1d0arkfb2x.mca",file: /Device/HarddiskVolume1/Users/dcoombes/AppData/Local/Packages/Microsoft.Windows.Cortana_cw5n1h2txyewy/LocalState/DeviceSearchCache/AppCache132136946180690686.txt~RFc76069b.TMP,6.000 to coverage score (16.262)
