node_id,attack_id,rank,score,label,pred_velox_threshold,in_all_attacks_rank_prefix,in_all_attacks_score_cutoff,node_type,path,cmd,src_addr,src_port,dst_addr,dst_port
1,0,2,10.881748199,1,1,1,1,,,,,,,
13205,0,199,4.924786091,1,0,0,0,,,,,,,
11,0,402,4.089219093,1,0,0,0,,,,,,,
14,0,409,4.083585262,1,0,0,0,,,,,,,
99701,0,476,3.954973459,1,0,0,0,,,,,,,
241,0,801,3.609239817,1,0,0,0,,,,,,,
13193,0,841,3.540983677,1,0,0,0,,,,,,,
230,0,1005,3.334984303,1,0,0,0,,,,,,,
1816,0,1628,2.974165678,1,0,0,0,,,,,,,
180,0,2078,2.829481363,1,0,0,0,,,,,,,
13019,0,2322,2.746427536,1,0,0,0,,,,,,,
13756,0,2539,2.695119619,1,0,0,0,,,,,,,
99698,0,3957,2.471247196,1,0,0,0,,,,,,,
13590,0,5310,2.384728909,1,0,0,0,,,,,,,
137849,0,6461,2.323770046,1,0,0,0,,,,,,,
2119,0,14955,1.980532169,1,0,0,0,,,,,,,
13497,0,15353,1.945283890,1,0,0,0,,,,,,,
13632,0,15536,1.925426245,1,0,0,0,,,,,,,
13627,0,15537,1.925426245,1,0,0,0,,,,,,,
13466,0,15714,1.912297249,1,0,0,0,,,,,,,
13465,0,15715,1.912297249,1,0,0,0,,,,,,,
13456,0,15716,1.912297249,1,0,0,0,,,,,,,
13449,0,15718,1.912297249,1,0,0,0,,,,,,,
3,0,16331,1.866288662,1,0,0,0,,,,,,,
137870,0,17118,1.800077081,1,0,0,0,,,,,,,
13765,0,17257,1.784785271,1,0,0,0,,,,,,,
13615,0,17258,1.784785271,1,0,0,0,,,,,,,
13596,0,17259,1.784785271,1,0,0,0,,,,,,,
13546,0,17260,1.784785271,1,0,0,0,,,,,,,
13422,0,17261,1.784784555,1,0,0,0,,,,,,,
3571,0,17827,1.727919936,1,0,0,0,,,,,,,
39,0,19440,1.683253527,1,0,0,0,,,,,,,
13772,0,19920,1.629785657,1,0,0,0,,,,,,,
13436,0,20521,1.557686687,1,0,0,0,,,,,,,
13705,0,20809,1.526506186,1,0,0,0,,,,,,,
13204,0,23619,1.331068277,1,0,0,0,,,,,,,
13776,0,24321,1.294752359,1,0,0,0,,,,,,,
13598,0,29660,0.983147204,1,0,0,0,,,,,,,
17,0,30518,0.959412754,1,0,0,0,,,,,,,
13649,0,30707,0.947531104,1,0,0,0,,,,,,,
1635155,0,31842,0.938727021,1,0,0,0,,,,,,,
1635154,0,31843,0.938727021,1,0,0,0,,,,,,,
1636212,0,31844,0.938726962,1,0,0,0,,,,,,,
1636211,0,31845,0.938726962,1,0,0,0,,,,,,,
1636213,0,31964,0.928267598,1,0,0,0,,,,,,,
1590702,0,32003,0.922335505,1,0,0,0,,,,,,,
1590701,0,32004,0.922335505,1,0,0,0,,,,,,,
1590685,0,32005,0.922335505,1,0,0,0,,,,,,,
1590645,0,32006,0.922335505,1,0,0,0,,,,,,,
