node_group,operation,count,fraction
TP_above_threshold,CREATE,1,1.000000000
FP_above_threshold,CREATE,7,0.368421053
FP_above_threshold,MODIFY,5,0.263157895
FP_above_threshold,RENAME,4,0.210526316
FP_above_threshold,WRITE,2,0.105263158
FP_above_threshold,DELETE,1,0.052631579
FN_below_threshold,MESSAGE,2839,0.977617080
FN_below_threshold,CREATE,25,0.008608815
FN_below_threshold,START,19,0.006542700
FN_below_threshold,TERMINATE,6,0.002066116
FN_below_threshold,OPEN,6,0.002066116
FN_below_threshold,RENAME,5,0.001721763
FN_below_threshold,MODIFY,2,0.000688705
FN_below_threshold,WRITE,1,0.000344353
FN_below_threshold,DELETE,1,0.000344353
TN_high_below_threshold,CREATE,331,0.662000000
TN_high_below_threshold,WRITE,56,0.112000000
TN_high_below_threshold,RENAME,52,0.104000000
TN_high_below_threshold,DELETE,30,0.060000000
TN_high_below_threshold,MODIFY,16,0.032000000
TN_high_below_threshold,OPEN,10,0.020000000
TN_high_below_threshold,START,4,0.008000000
TN_high_below_threshold,TERMINATE,1,0.002000000
