node_group,operation,type_pair,feature_group,edge_count,loss_drop_mean,loss_drop_median,loss_drop_p10,loss_drop_p90
TP_above_threshold,CREATE,subject->file,src_embedding,1,0.689262390,0.689262390,0.689262390,0.689262390
TP_above_threshold,CREATE,subject->file,src_type,1,3.092846155,3.092846155,3.092846155,3.092846155
TP_above_threshold,CREATE,subject->file,dst_embedding,1,-0.095787048,-0.095787048,-0.095787048,-0.095787048
TP_above_threshold,CREATE,subject->file,dst_type,1,2.967020512,2.967020512,2.967020512,2.967020512
FP_above_threshold,CREATE,subject->file,src_embedding,1,0.689262390,0.689262390,0.689262390,0.689262390
FP_above_threshold,CREATE,subject->file,src_type,1,3.092846155,3.092846155,3.092846155,3.092846155
FP_above_threshold,CREATE,subject->file,dst_embedding,1,-0.095787048,-0.095787048,-0.095787048,-0.095787048
FP_above_threshold,CREATE,subject->file,dst_type,1,2.967020512,2.967020512,2.967020512,2.967020512
FN_below_threshold,MESSAGE,netflow->subject,src_embedding,349,-4.648099740,-4.366183579,-5.098798073,-4.364313639
FN_below_threshold,MESSAGE,netflow->subject,src_type,349,-0.122620211,0.051689386,-0.434066856,0.062740350
FN_below_threshold,MESSAGE,netflow->subject,dst_embedding,349,0.067021406,0.091808319,0.031197596,0.092662335
FN_below_threshold,MESSAGE,netflow->subject,dst_type,349,-0.232535903,-0.263690233,-0.263975072,-0.175526631
FN_below_threshold,START,subject->netflow,src_embedding,213,0.036155112,0.013118863,0.013118863,0.013118863
FN_below_threshold,START,subject->netflow,src_type,213,0.145324093,0.213559270,0.213559270,0.213559270
FN_below_threshold,START,subject->netflow,dst_embedding,213,0.124788985,0.143571794,0.143571794,0.143571794
FN_below_threshold,START,subject->netflow,dst_type,213,-1.866240708,-1.882285237,-1.882285237,-1.882285237
FN_below_threshold,MESSAGE,subject->netflow,src_embedding,138,0.310570959,0.363598943,0.127213895,0.363598943
FN_below_threshold,MESSAGE,subject->netflow,src_type,138,-1.296855740,-0.824590206,-3.053721726,-0.824590206
FN_below_threshold,MESSAGE,subject->netflow,dst_embedding,138,-0.147168292,-0.142195225,-0.167147279,-0.142195225
FN_below_threshold,MESSAGE,subject->netflow,dst_type,138,-1.646401413,-1.638179183,-1.645068228,-1.638179183
