node_group,operation,type_pair,count,fraction
TP_above_threshold,CREATE,subject->file,1,1.000000000
FP_above_threshold,CREATE,subject->file,1,1.000000000
FN_below_threshold,MESSAGE,netflow->subject,349,0.466577540
FN_below_threshold,START,subject->netflow,213,0.284759358
FN_below_threshold,MESSAGE,subject->netflow,138,0.184491979
FN_below_threshold,MODIFY,subject->file,11,0.014705882
FN_below_threshold,READ,file->subject,10,0.013368984
FN_below_threshold,OPEN,subject->subject,8,0.010695187
FN_below_threshold,DELETE,subject->file,6,0.008021390
FN_below_threshold,WRITE,subject->file,4,0.005347594
FN_below_threshold,TERMINATE,subject->subject,3,0.004010695
FN_below_threshold,CREATE,subject->file,2,0.002673797
FN_below_threshold,CREATE,subject->subject,2,0.002673797
FN_below_threshold,RENAME,subject->file,2,0.002673797
TN_high_below_threshold,CREATE,subject->file,217,0.434000000
TN_high_below_threshold,DELETE,subject->file,165,0.330000000
TN_high_below_threshold,RENAME,subject->file,71,0.142000000
TN_high_below_threshold,WRITE,subject->file,25,0.050000000
TN_high_below_threshold,MODIFY,subject->file,22,0.044000000
