src,dst,operation,event_count,first_ts_ns,last_ts_ns
17139,216308,EVENT_RECVFROM,218,1523551818826811685,1523551818875538975
17081,216244,EVENT_RECVFROM,200,1523551481575424978,1523551481619334930
17140,216312,EVENT_RECVFROM,136,1523551878180830402,1523553044353015217
17974,216933,EVENT_RECVFROM,50,1523553424223803199,1523553981059433009
216933,17974,EVENT_SENDTO,38,1523553424224475753,1523553864370371193
216310,17140,EVENT_SENDTO,4,1523551818891735811,1523551818933587022
216318,17140,EVENT_SENDTO,4,1523551879944907789,1523551879945048739
17140,216310,EVENT_RECVFROM,2,1523551818933440998,1523551818933457222
216317,17140,EVENT_SENDTO,2,1523551878223492991,1523551878223508747
216322,17140,EVENT_SENDTO,2,1523551939312259368,1523551939312276965
216323,17140,EVENT_SENDTO,2,1523551940419605961,1523551940419611603
216327,17140,EVENT_SENDTO,2,1523551976767638930,1523551976767656671
216328,17140,EVENT_SENDTO,2,1523552003406243306,1523552003406260365
216329,17140,EVENT_SENDTO,2,1523552003914352537,1523552003914357219
216330,17140,EVENT_SENDTO,2,1523552004207757394,1523552004207774230
216331,17140,EVENT_SENDTO,2,1523552004411326119,1523552004411341934
216372,17140,EVENT_SENDTO,2,1523552278802291045,1523552278802308805
216373,17140,EVENT_SENDTO,2,1523552287514672784,1523552287514690233
216374,17140,EVENT_SENDTO,2,1523552287815289106,1523552287815304857
216388,17140,EVENT_SENDTO,2,1523552469374940783,1523552469374957689
216390,17140,EVENT_SENDTO,2,1523552473580888476,1523552473580905772
216391,17140,EVENT_SENDTO,2,1523552477787148323,1523552477787165575
216440,17140,EVENT_SENDTO,2,1523552514240257988,1523552514240262732
216450,17140,EVENT_SENDTO,2,1523552526157525811,1523552526157543197
216451,17140,EVENT_SENDTO,2,1523552527159420813,1523552527159437380
216470,17140,EVENT_SENDTO,2,1523552571823054832,1523552571823070346
216472,17140,EVENT_SENDTO,2,1523552612782466021,1523552612782483325
216473,17140,EVENT_SENDTO,2,1523552613083024979,1523552613083041100
216759,17140,EVENT_SENDTO,2,1523552826599110607,1523552826599121752
216760,17140,EVENT_SENDTO,2,1523552826903074991,1523552826903138433
216783,17140,EVENT_SENDTO,2,1523552910430680737,1523552910430698703
216784,17140,EVENT_SENDTO,2,1523552910634161186,1523552910634176685
216799,17140,EVENT_SENDTO,2,1523552947293523613,1523552947293540152
216801,17140,EVENT_SENDTO,2,1523552967126632757,1523552967126649623
216833,17140,EVENT_SENDTO,2,1523553020408892755,1523553020408910193
216834,17140,EVENT_SENDTO,2,1523553020612785301,1523553020612800481
216840,17140,EVENT_SENDTO,2,1523553026719954869,1523553026719970959
216841,17140,EVENT_SENDTO,2,1523553032529264721,1523553032529281637
216843,17140,EVENT_SENDTO,2,1523553038640041356,1523553038640080878
216844,17140,EVENT_SENDTO,2,1523553042145761293,1523553042145779716
511273,216082,EVENT_OPEN,2,1523551202291497042,1523551202294344970
511273,216082,EVENT_READ,2,1523551202294022091,1523551202294050566
511273,216116,EVENT_OPEN,2,1523551237644107123,1523551237644282870
511273,216116,EVENT_READ,2,1523551237644149825,1523551237644157123
511273,216194,EVENT_OPEN,2,1523551353305307141,1523551353317002205
511273,216194,EVENT_READ,2,1523551353305353881,1523551353305361422
511273,216233,EVENT_OPEN,2,1523551394331524809,1523551394331707419
511273,216233,EVENT_READ,2,1523551394331569858,1523551394331577454
511273,216234,EVENT_READ,2,1523551398182897671,1523551398182905903
511273,216238,EVENT_OPEN,2,1523551437431867202,1523551437432086771
511273,216238,EVENT_READ,2,1523551437431910052,1523551437431917584
511273,216239,EVENT_READ,2,1523551441793614808,1523551441793622506
511273,216244,EVENT_READ,2,1523551481544061054,1523551481544068025
