node_id,node_type,path,cmd,src_addr,src_port,dst_addr,dst_port
17081,netflow,,,128.55.12.110,38445,141.43.176.203,80
17139,netflow,,,128.55.12.110,38467,141.43.176.203,80
17140,netflow,,,128.55.12.110,49721,146.153.68.151,80
17974,netflow,,,128.55.12.110,43730,149.52.198.23,80
216082,subject,/home/admin/Downloads/firefox/firefox,/usr/bin/firefox,,,,
216116,subject,/home/admin/Downloads/firefox/firefox,/usr/bin/firefox,,,,
216191,subject,/home/admin/Downloads/firefox/firefox,/usr/bin/firefox,,,,
216194,subject,/home/admin/Downloads/firefox/firefox,/usr/bin/firefox,,,,
216233,subject,/home/admin/Downloads/firefox/firefox,/usr/bin/firefox,,,,
216234,subject,/home/admin/Downloads/firefox/firefox,/usr/bin/firefox,,,,
216238,subject,/home/admin/Downloads/firefox/firefox,/usr/bin/firefox,,,,
216239,subject,/home/admin/Downloads/firefox/firefox,/usr/bin/firefox,,,,
216244,subject,/home/admin/Downloads/firefox/firefox,/usr/bin/firefox,,,,
216308,subject,/home/admin/Downloads/firefox/firefox,/usr/bin/firefox,,,,
216309,subject,/etc/firefox/native-messaging-hosts/pass_mgr,/etc/firefox/native-messaging-hosts/pass_mgr /home/admin/.mozilla/native-messaging-hosts/pass_mgr.json,,,,
216310,subject,/bin/dash,/bin/sh -c ./gtcache &>/dev/null &,,,,
216312,subject,/etc/firefox/native-messaging-hosts/gtcache,./gtcache,,,,
216317,subject,/etc/firefox/native-messaging-hosts/gtcache,./gtcache,,,,
216318,subject,/etc/firefox/native-messaging-hosts/gtcache,./gtcache,,,,
216322,subject,/etc/firefox/native-messaging-hosts/gtcache,./gtcache,,,,
216323,subject,/etc/firefox/native-messaging-hosts/gtcache,./gtcache,,,,
216327,subject,/etc/firefox/native-messaging-hosts/gtcache,./gtcache,,,,
216328,subject,/etc/firefox/native-messaging-hosts/gtcache,./gtcache,,,,
216329,subject,/etc/firefox/native-messaging-hosts/gtcache,./gtcache,,,,
216330,subject,/etc/firefox/native-messaging-hosts/gtcache,./gtcache,,,,
216331,subject,/etc/firefox/native-messaging-hosts/gtcache,./gtcache,,,,
216372,subject,/etc/firefox/native-messaging-hosts/gtcache,./gtcache,,,,
216373,subject,/etc/firefox/native-messaging-hosts/gtcache,./gtcache,,,,
216374,subject,/etc/firefox/native-messaging-hosts/gtcache,./gtcache,,,,
216388,subject,/etc/firefox/native-messaging-hosts/gtcache,./gtcache,,,,
216390,subject,/etc/firefox/native-messaging-hosts/gtcache,./gtcache,,,,
216391,subject,/etc/firefox/native-messaging-hosts/gtcache,./gtcache,,,,
216440,subject,/etc/firefox/native-messaging-hosts/gtcache,./gtcache,,,,
216450,subject,/etc/firefox/native-messaging-hosts/gtcache,./gtcache,,,,
216451,subject,/etc/firefox/native-messaging-hosts/gtcache,./gtcache,,,,
216470,subject,/etc/firefox/native-messaging-hosts/gtcache,./gtcache,,,,
216472,subject,/etc/firefox/native-messaging-hosts/gtcache,./gtcache,,,,
216473,subject,/etc/firefox/native-messaging-hosts/gtcache,./gtcache,,,,
216759,subject,/etc/firefox/native-messaging-hosts/gtcache,./gtcache,,,,
216760,subject,/etc/firefox/native-messaging-hosts/gtcache,./gtcache,,,,
216783,subject,/etc/firefox/native-messaging-hosts/gtcache,./gtcache,,,,
216784,subject,/etc/firefox/native-messaging-hosts/gtcache,./gtcache,,,,
216799,subject,/etc/firefox/native-messaging-hosts/gtcache,./gtcache,,,,
216801,subject,/etc/firefox/native-messaging-hosts/gtcache,./gtcache,,,,
216833,subject,/etc/firefox/native-messaging-hosts/gtcache,./gtcache,,,,
216834,subject,/etc/firefox/native-messaging-hosts/gtcache,./gtcache,,,,
216840,subject,/etc/firefox/native-messaging-hosts/gtcache,./gtcache,,,,
216841,subject,/etc/firefox/native-messaging-hosts/gtcache,./gtcache,,,,
216843,subject,/etc/firefox/native-messaging-hosts/gtcache,./gtcache,,,,
216844,subject,/etc/firefox/native-messaging-hosts/gtcache,./gtcache,,,,
216933,subject,/var/log/mail,/var/log/mail,,,,
216934,subject,/var/log/mail,/var/log/mail,,,,
216973,subject,/var/log/mail,/var/log/mail,,,,
511272,file,/etc/firefox/native-messaging-hosts/pass_mgr,,,,,
511273,file,/etc/firefox/native-messaging-hosts/passwordfile.dat,,,,,
512168,file,/etc/firefox/native-messaging-hosts/gtcache,,,,,
512304,file,/var/log/wdev,,,,,
512410,file,/tmp/memtrace.so,,,,,
513608,file,/var/log/mail,,,,,
642629,file,/etc/ld.so.cache,,,,,
658599,file,/var/log/xdev,,,,,
