src,dst,operation,event_count,first_ts_ns,last_ts_ns
67683,284406,EVENT_RECVFROM,18728,1523386402905309924,1523386674823221899
67683,282484,EVENT_RECVFROM,5491,1523385031838105709,1523385704072615686
73088,282484,EVENT_RECVFROM,223,1523385082947049147,1523385082969366838
73611,284406,EVENT_RECVFROM,219,1523386456615151400,1523386456635350557
73089,282561,EVENT_RECVFROM,74,1523385146345207802,1523385356174472612
74539,284531,EVENT_RECVFROM,66,1523386615784587528,1523386734624354109
73612,284474,EVENT_RECVFROM,65,1523386476996837983,1523386609104118464
73241,282591,EVENT_RECVFROM,35,1523385361768765492,1523385867846952185
282484,67683,EVENT_SENDMSG,17,1523385031915358679,1523385032890828475
284406,67683,EVENT_SENDMSG,17,1523386402982247181,1523386403857889696
644341,284406,EVENT_OPEN,17,1523386417732012342,1523386663732427432
284406,67683,EVENT_CONNECT,15,1523386402899070247,1523386577609611483
67683,282484,EVENT_RECVMSG,13,1523385031915370332,1523385032890833992
67683,284406,EVENT_RECVMSG,13,1523386402982258860,1523386403857895528
282484,67683,EVENT_CONNECT,12,1523385031836231748,1523385032116122421
644341,284406,EVENT_READ,10,1523386417732016608,1523386627088770052
284406,644341,EVENT_WRITE,9,1523386456610905172,1523386563675725067
282484,67683,EVENT_SENDTO,8,1523385031915012757,1523385032116265428
284406,67683,EVENT_SENDTO,8,1523386402982034756,1523386403183757939
67683,282484,EVENT_READ_SOCKET_PARAMS,4,1523385031915039045,1523385032116252352
67683,284406,EVENT_READ_SOCKET_PARAMS,4,1523386402982062114,1523386403183744390
282560,73089,EVENT_SENDTO,4,1523385082992946318,1523385082997179843
282567,73089,EVENT_SENDTO,4,1523385152718551478,1523385152718587679
282590,73241,EVENT_SENDTO,4,1523385330172268484,1523385330223910016
284473,73612,EVENT_SENDTO,4,1523386456646035946,1523386456649643604
284530,74539,EVENT_SENDTO,4,1523386599794609439,1523386599838199951
73089,282560,EVENT_RECVFROM,2,1523385082996968073,1523385082996981952
73241,282590,EVENT_RECVFROM,2,1523385330223373752,1523385330223408274
73612,284473,EVENT_RECVFROM,2,1523386456649510677,1523386456649523747
74539,284530,EVENT_RECVFROM,2,1523386599837660799,1523386599837697858
282484,644341,EVENT_WRITE,2,1523385082942891869,1523385099855259778
282565,73089,EVENT_SENDTO,2,1523385146399716536,1523385146399739323
282566,73089,EVENT_SENDTO,2,1523385148102824383,1523385148102847891
282568,73089,EVENT_SENDTO,2,1523385156915425653,1523385156915479743
282570,73089,EVENT_SENDTO,2,1523385160829961059,1523385160829996860
282584,73089,EVENT_SENDTO,2,1523385317249754347,1523385317249776645
282585,73089,EVENT_SENDTO,2,1523385320454720505,1523385320454743390
282587,73089,EVENT_SENDTO,2,1523385324659852563,1523385324659877370
282588,73089,EVENT_SENDTO,2,1523385330167986983,1523385330168040913
282593,73089,EVENT_SENDTO,2,1523385345189261853,1523385345189285711
282595,73241,EVENT_SENDTO,2,1523385361868407459,1523385361868423728
282606,73241,EVENT_SENDTO,2,1523385556649471524,1523385556649488338
