node_id,node_type,path,cmd,src_addr,src_port,dst_addr,dst_port
67683,netflow,,,LOCAL,0,NA,0
73088,netflow,,,128.55.12.110,33100,141.43.176.203,80
73089,netflow,,,128.55.12.110,44354,146.153.68.151,80
73241,netflow,,,128.55.12.110,45226,161.116.88.72,80
73611,netflow,,,128.55.12.110,33157,141.43.176.203,80
73612,netflow,,,128.55.12.110,44411,146.153.68.151,80
74539,netflow,,,128.55.12.110,45668,161.116.88.72,80
282484,subject,/usr/bin/fluxbox,fluxbox,,,,
282560,subject,/home/admin/Downloads/firefox/firefox,/usr/bin/firefox,,,,
282561,subject,/home/admin/Downloads/firefox/firefox,/usr/bin/firefox,,,,
282565,subject,/home/admin/Downloads/firefox/firefox,/usr/bin/firefox,,,,
282566,subject,/home/admin/Downloads/firefox/firefox,/usr/bin/firefox,,,,
282567,subject,/home/admin/Downloads/firefox/firefox,/usr/bin/firefox,,,,
282568,subject,/home/admin/Downloads/firefox/firefox,/usr/bin/firefox,,,,
282570,subject,/home/admin/Downloads/firefox/firefox,/usr/bin/firefox,,,,
282584,subject,/home/admin/Downloads/firefox/firefox,/usr/bin/firefox,,,,
282585,subject,/home/admin/Downloads/firefox/firefox,/usr/bin/firefox,,,,
282587,subject,/home/admin/Downloads/firefox/firefox,/usr/bin/firefox,,,,
282588,subject,/home/admin/Downloads/firefox/firefox,/usr/bin/firefox,,,,
282590,subject,/home/admin/clean,/home/admin/clean,,,,
282591,subject,/home/admin/clean,/home/admin/clean,,,,
282593,subject,/home/admin/Downloads/firefox/firefox,/usr/bin/firefox,,,,
282595,subject,/home/admin/clean (deleted),/home/admin/clean,,,,
282606,subject,/home/admin/clean (deleted),/home/admin/clean,,,,
282607,subject,/home/admin/clean (deleted),/home/admin/clean,,,,
282609,subject,/home/admin/clean (deleted),/home/admin/clean,,,,
282611,subject,/home/admin/clean (deleted),/home/admin/clean,,,,
282612,subject,/home/admin/clean (deleted),/home/admin/clean,,,,
282613,subject,/home/admin/clean (deleted),/home/admin/clean,,,,
282614,subject,/home/admin/clean (deleted),/home/admin/clean,,,,
282615,subject,/home/admin/clean (deleted),/home/admin/clean,,,,
282617,subject,/home/admin/clean (deleted),/home/admin/clean,,,,
282621,subject,/home/admin/clean (deleted),/home/admin/clean,,,,
282691,subject,/home/admin/clean (deleted),/home/admin/clean,,,,
282692,subject,/home/admin/clean (deleted),/home/admin/clean,,,,
282695,subject,/home/admin/clean (deleted),/home/admin/clean,,,,
282696,subject,/home/admin/clean (deleted),/home/admin/clean,,,,
282700,subject,/home/admin/clean (deleted),/home/admin/clean,,,,
282701,subject,/home/admin/clean (deleted),/home/admin/clean,,,,
284406,subject,/usr/bin/fluxbox,fluxbox,,,,
284473,subject,/home/admin/Downloads/firefox/firefox,/usr/bin/firefox,,,,
284474,subject,/home/admin/Downloads/firefox/firefox,/usr/bin/firefox,,,,
284514,subject,/home/admin/Downloads/firefox/firefox,/usr/bin/firefox,,,,
284517,subject,/home/admin/Downloads/firefox/firefox,/usr/bin/firefox,,,,
284518,subject,/home/admin/Downloads/firefox/firefox,/usr/bin/firefox,,,,
284526,subject,/home/admin/Downloads/firefox/firefox,/usr/bin/firefox,,,,
284529,subject,/home/admin/Downloads/firefox/firefox,/usr/bin/firefox,,,,
284530,subject,/home/admin/profile,/home/admin/profile,,,,
284531,subject,/home/admin/profile,/home/admin/profile,,,,
284560,subject,/home/admin/Downloads/firefox/firefox,/usr/bin/firefox,,,,
284561,subject,/home/admin/profile (deleted),/home/admin/profile,,,,
284562,subject,/home/admin/profile (deleted),/home/admin/profile,,,,
284573,subject,/home/admin/profile (deleted),/home/admin/profile,,,,
284576,subject,/home/admin/profile (deleted),/home/admin/profile,,,,
644341,file,/dev/glx_alsa_675,,,,,
652280,file,/home/admin/clean,,,,,
658171,file,/home/admin/profile,,,,,
658599,file,/var/log/xdev,,,,,
