case,rank,node_id,node_group,operation,type_pair,group,original_loss,ablated_loss,loss_drop_when_zeroed,captum_attr_sum,captum_attr_mean
TP_above_threshold:1:511272,1,511272,TP_above_threshold,EVENT_EXECUTE,file->subject,src_embedding,7.232573986,6.273558617,0.959015369,61.376983643,0.959015369
TP_above_threshold:1:511272,1,511272,TP_above_threshold,EVENT_EXECUTE,file->subject,src_type,7.232573986,4.256431580,2.976142406,8.928426743,2.976142168
TP_above_threshold:1:511272,1,511272,TP_above_threshold,EVENT_EXECUTE,file->subject,dst_embedding,7.232573986,6.562731266,0.669842720,42.869934082,0.669842720
TP_above_threshold:1:511272,1,511272,TP_above_threshold,EVENT_EXECUTE,file->subject,dst_type,7.232573986,6.018692017,1.213881969,3.641645908,1.213881969
TP_above_threshold:2:216308,2,216308,TP_above_threshold,EVENT_EXECUTE,file->subject,src_embedding,7.232573986,6.273558617,0.959015369,61.376983643,0.959015369
TP_above_threshold:2:216308,2,216308,TP_above_threshold,EVENT_EXECUTE,file->subject,src_type,7.232573986,4.256431580,2.976142406,8.928426743,2.976142168
TP_above_threshold:2:216308,2,216308,TP_above_threshold,EVENT_EXECUTE,file->subject,dst_embedding,7.232573986,6.562731266,0.669842720,42.869934082,0.669842720
TP_above_threshold:2:216308,2,216308,TP_above_threshold,EVENT_EXECUTE,file->subject,dst_type,7.232573986,6.018692017,1.213881969,3.641645908,1.213881969
TP_above_threshold:3:216244,3,216244,TP_above_threshold,EVENT_EXECUTE,file->subject,src_embedding,7.232573986,6.273558617,0.959015369,61.376983643,0.959015369
TP_above_threshold:3:216244,3,216244,TP_above_threshold,EVENT_EXECUTE,file->subject,src_type,7.232573986,4.256431580,2.976142406,8.928426743,2.976142168
TP_above_threshold:3:216244,3,216244,TP_above_threshold,EVENT_EXECUTE,file->subject,dst_embedding,7.232573986,6.562731266,0.669842720,42.869934082,0.669842720
TP_above_threshold:3:216244,3,216244,TP_above_threshold,EVENT_EXECUTE,file->subject,dst_type,7.232573986,6.018692017,1.213881969,3.641645908,1.213881969
TP_above_threshold:4:216239,4,216239,TP_above_threshold,EVENT_EXECUTE,file->subject,src_embedding,7.232573986,6.273558617,0.959015369,61.376983643,0.959015369
TP_above_threshold:4:216239,4,216239,TP_above_threshold,EVENT_EXECUTE,file->subject,src_type,7.232573986,4.256431580,2.976142406,8.928426743,2.976142168
TP_above_threshold:4:216239,4,216239,TP_above_threshold,EVENT_EXECUTE,file->subject,dst_embedding,7.232573986,6.562731266,0.669842720,42.869934082,0.669842720
TP_above_threshold:4:216239,4,216239,TP_above_threshold,EVENT_EXECUTE,file->subject,dst_type,7.232573986,6.018692017,1.213881969,3.641645908,1.213881969
TP_above_threshold:5:216238,5,216238,TP_above_threshold,EVENT_EXECUTE,file->subject,src_embedding,7.232573986,6.273558617,0.959015369,61.376983643,0.959015369
TP_above_threshold:5:216238,5,216238,TP_above_threshold,EVENT_EXECUTE,file->subject,src_type,7.232573986,4.256431580,2.976142406,8.928426743,2.976142168
TP_above_threshold:5:216238,5,216238,TP_above_threshold,EVENT_EXECUTE,file->subject,dst_embedding,7.232573986,6.562731266,0.669842720,42.869934082,0.669842720
TP_above_threshold:5:216238,5,216238,TP_above_threshold,EVENT_EXECUTE,file->subject,dst_type,7.232573986,6.018692017,1.213881969,3.641645908,1.213881969
TP_above_threshold:6:216234,6,216234,TP_above_threshold,EVENT_EXECUTE,file->subject,src_embedding,7.232573986,6.273558617,0.959015369,61.376983643,0.959015369
TP_above_threshold:6:216234,6,216234,TP_above_threshold,EVENT_EXECUTE,file->subject,src_type,7.232573986,4.256431580,2.976142406,8.928426743,2.976142168
TP_above_threshold:6:216234,6,216234,TP_above_threshold,EVENT_EXECUTE,file->subject,dst_embedding,7.232573986,6.562731266,0.669842720,42.869934082,0.669842720
TP_above_threshold:6:216234,6,216234,TP_above_threshold,EVENT_EXECUTE,file->subject,dst_type,7.232573986,6.018692017,1.213881969,3.641645908,1.213881969
TP_above_threshold:7:216233,7,216233,TP_above_threshold,EVENT_EXECUTE,file->subject,src_embedding,7.232573986,6.273558617,0.959015369,61.376983643,0.959015369
TP_above_threshold:7:216233,7,216233,TP_above_threshold,EVENT_EXECUTE,file->subject,src_type,7.232573986,4.256431580,2.976142406,8.928426743,2.976142168
TP_above_threshold:7:216233,7,216233,TP_above_threshold,EVENT_EXECUTE,file->subject,dst_embedding,7.232573986,6.562731266,0.669842720,42.869934082,0.669842720
TP_above_threshold:7:216233,7,216233,TP_above_threshold,EVENT_EXECUTE,file->subject,dst_type,7.232573986,6.018692017,1.213881969,3.641645908,1.213881969
TP_above_threshold:8:216194,8,216194,TP_above_threshold,EVENT_EXECUTE,file->subject,src_embedding,7.232573986,6.273558617,0.959015369,61.376983643,0.959015369
TP_above_threshold:8:216194,8,216194,TP_above_threshold,EVENT_EXECUTE,file->subject,src_type,7.232573986,4.256431580,2.976142406,8.928426743,2.976142168
TP_above_threshold:8:216194,8,216194,TP_above_threshold,EVENT_EXECUTE,file->subject,dst_embedding,7.232573986,6.562731266,0.669842720,42.869934082,0.669842720
TP_above_threshold:8:216194,8,216194,TP_above_threshold,EVENT_EXECUTE,file->subject,dst_type,7.232573986,6.018692017,1.213881969,3.641645908,1.213881969
TP_above_threshold:9:216116,9,216116,TP_above_threshold,EVENT_EXECUTE,file->subject,src_embedding,7.232573986,6.273558617,0.959015369,61.376983643,0.959015369
TP_above_threshold:9:216116,9,216116,TP_above_threshold,EVENT_EXECUTE,file->subject,src_type,7.232573986,4.256431580,2.976142406,8.928426743,2.976142168
TP_above_threshold:9:216116,9,216116,TP_above_threshold,EVENT_EXECUTE,file->subject,dst_embedding,7.232573986,6.562731266,0.669842720,42.869934082,0.669842720
TP_above_threshold:9:216116,9,216116,TP_above_threshold,EVENT_EXECUTE,file->subject,dst_type,7.232573986,6.018692017,1.213881969,3.641645908,1.213881969
FP_above_threshold:10:216083,10,216083,FP_above_threshold,EVENT_EXECUTE,file->subject,src_embedding,7.232573986,6.273558617,0.959015369,61.376983643,0.959015369
FP_above_threshold:10:216083,10,216083,FP_above_threshold,EVENT_EXECUTE,file->subject,src_type,7.232573986,4.256431580,2.976142406,8.928426743,2.976142168
