node_group,operation,type_pair,feature_group,edge_count,loss_drop_mean,loss_drop_median,loss_drop_p10,loss_drop_p90
TP_above_threshold,EVENT_EXECUTE,file->subject,src_embedding,16,0.953468621,0.959015369,0.938297987,0.959015369
TP_above_threshold,EVENT_EXECUTE,file->subject,src_type,16,2.970480978,2.976142406,2.958325863,2.976142406
TP_above_threshold,EVENT_EXECUTE,file->subject,dst_embedding,16,0.651436806,0.669842720,0.602506637,0.669842720
TP_above_threshold,EVENT_EXECUTE,file->subject,dst_type,16,1.209561229,1.213881969,1.198495865,1.213881969
FP_above_threshold,EVENT_EXECUTE,file->subject,src_embedding,487,0.868559817,0.864201069,0.864201069,0.873800755
FP_above_threshold,EVENT_EXECUTE,file->subject,src_type,487,2.922097118,2.920358181,2.920358181,2.923810005
FP_above_threshold,EVENT_EXECUTE,file->subject,dst_embedding,487,0.654025129,0.659449100,0.616960526,0.659449100
FP_above_threshold,EVENT_EXECUTE,file->subject,dst_type,487,1.203807469,1.202764034,1.202764034,1.202764034
FN_below_threshold,EVENT_SENDTO,subject->netflow,src_embedding,79,-0.024936202,-0.020254195,-0.037336648,-0.019506395
FN_below_threshold,EVENT_SENDTO,subject->netflow,src_type,79,-0.124318733,-0.124312520,-0.126391113,-0.122922242
FN_below_threshold,EVENT_SENDTO,subject->netflow,dst_embedding,79,0.027231560,0.027149737,0.027036607,0.027609408
FN_below_threshold,EVENT_SENDTO,subject->netflow,dst_type,79,-0.022447351,-0.022416294,-0.023967445,-0.019889235
FN_below_threshold,EVENT_READ,file->subject,src_embedding,9,-0.010661953,-0.018770754,-0.029732728,0.005956662
FN_below_threshold,EVENT_READ,file->subject,src_type,9,-0.559734921,-0.584113657,-0.606962263,-0.446573580
FN_below_threshold,EVENT_READ,file->subject,dst_embedding,9,0.031461133,0.035091221,0.008216560,0.049426865
FN_below_threshold,EVENT_READ,file->subject,dst_type,9,0.126325197,0.126689851,0.107540631,0.141701793
FN_below_threshold,EVENT_EXECUTE,file->subject,src_embedding,7,0.868091924,0.857311249,0.829303837,0.930142403
FN_below_threshold,EVENT_EXECUTE,file->subject,src_type,7,2.917457036,2.929052353,2.895363808,2.934736729
FN_below_threshold,EVENT_EXECUTE,file->subject,dst_embedding,7,0.525776114,0.554668427,0.468840122,0.556606770
FN_below_threshold,EVENT_EXECUTE,file->subject,dst_type,7,1.218464238,1.220612526,1.209681511,1.228671551
FN_below_threshold,EVENT_OPEN,file->subject,src_embedding,4,0.015108585,0.023505777,-0.010247487,0.033746904
FN_below_threshold,EVENT_OPEN,file->subject,src_type,4,-0.045341551,-0.003239393,-0.157037008,0.032672179
FN_below_threshold,EVENT_OPEN,file->subject,dst_embedding,4,0.010108947,0.007624745,-0.012193883,0.034399140
FN_below_threshold,EVENT_OPEN,file->subject,dst_type,4,-0.109880239,-0.107712210,-0.129194868,-0.092300033
FN_below_threshold,EVENT_RECVFROM,netflow->subject,src_embedding,2,-0.045509383,-0.045509383,-0.045509383,-0.045509383
FN_below_threshold,EVENT_RECVFROM,netflow->subject,src_type,2,-0.560502604,-0.560502604,-0.560502604,-0.560502604
FN_below_threshold,EVENT_RECVFROM,netflow->subject,dst_embedding,2,0.014313325,0.014313325,0.014313325,0.014313325
FN_below_threshold,EVENT_RECVFROM,netflow->subject,dst_type,2,-0.106172740,-0.106172740,-0.106172740,-0.106172740
FN_below_threshold,EVENT_SENDMSG,subject->netflow,src_embedding,1,0.296799183,0.296799183,0.296799183,0.296799183
FN_below_threshold,EVENT_SENDMSG,subject->netflow,src_type,1,0.983138084,0.983138084,0.983138084,0.983138084
FN_below_threshold,EVENT_SENDMSG,subject->netflow,dst_embedding,1,0.306725025,0.306725025,0.306725025,0.306725025
FN_below_threshold,EVENT_SENDMSG,subject->netflow,dst_type,1,1.376507521,1.376507521,1.376507521,1.376507521
TN_high_below_threshold,EVENT_EXECUTE,file->subject,src_embedding,500,0.826492786,0.826492786,0.826492786,0.826492786
TN_high_below_threshold,EVENT_EXECUTE,file->subject,src_type,500,2.901682854,2.901682854,2.901682854,2.901682854
TN_high_below_threshold,EVENT_EXECUTE,file->subject,dst_embedding,500,0.647387028,0.647387028,0.647387028,0.647387028
TN_high_below_threshold,EVENT_EXECUTE,file->subject,dst_type,500,1.208372116,1.208372116,1.208372116,1.208372116
