node_group,operation,type_pair,count,fraction
TP_above_threshold,EVENT_EXECUTE,file->subject,16,1.000000000
FP_above_threshold,EVENT_EXECUTE,file->subject,487,1.000000000
FN_below_threshold,EVENT_SENDTO,subject->netflow,79,0.774509804
FN_below_threshold,EVENT_READ,file->subject,9,0.088235294
FN_below_threshold,EVENT_EXECUTE,file->subject,7,0.068627451
FN_below_threshold,EVENT_OPEN,file->subject,4,0.039215686
FN_below_threshold,EVENT_RECVFROM,netflow->subject,2,0.019607843
FN_below_threshold,EVENT_SENDMSG,subject->netflow,1,0.009803922
TN_high_below_threshold,EVENT_EXECUTE,file->subject,46178,0.923560000
TN_high_below_threshold,EVENT_SENDMSG,subject->netflow,3743,0.074860000
TN_high_below_threshold,EVENT_RECVMSG,netflow->subject,79,0.001580000
