model_label,score_epoch,rank,node_id,node_group,node_group_label,score,label,pred_above_threshold,saved_pred,attacks,incident_edges,responsible_loss,score_minus_responsible_loss,operation,event_uuid,time_raw,time_eastern,window,target_role,srcnode,dstnode,src_type,dst_type,type_pair,node_label_text,src_label,dst_label,short_endpoint_pair
Leaky selected,0,1,652280,TP,TP,7.779693604,1,1,1,Firefox backdoor Drakon in-memory,3,7.779693604,0.000000000,EVENT_EXECUTE,D76CBCF4-E226-2415-3BF6-3B0000000010,1523385330168523991,2018-04-10 14:35:30.168524 EDT,2018-04-10 14:35:12.683182520~2018-04-10 14:37:01.483699418,src,652280,282590,file,subject,file->subject,file: /home/admin/clean,file: /home/admin/clean,subject: /home/admin/clean,admin/clean -> admin/clean
Leaky selected,0,2,282590,TP,TP,7.779693604,1,1,1,Firefox backdoor Drakon in-memory,29,7.779693604,0.000000000,EVENT_EXECUTE,D76CBCF4-E226-2415-3BF6-3B0000000010,1523385330168523991,2018-04-10 14:35:30.168524 EDT,2018-04-10 14:35:12.683182520~2018-04-10 14:37:01.483699418,dst,652280,282590,file,subject,file->subject,subject: /home/admin/clean,file: /home/admin/clean,subject: /home/admin/clean,admin/clean -> admin/clean
Leaky selected,0,3,658171,TP,TP,7.501618385,1,1,1,Firefox backdoor Drakon in-memory,3,7.501618385,0.000000000,EVENT_EXECUTE,ACD92890-0A28-2415-4DB3-400000000010,1523386599791450540,2018-04-10 14:56:39.791451 EDT,2018-04-10 14:54:52.311037344~2018-04-10 14:57:54.726516243,src,658171,284530,file,subject,file->subject,file: /home/admin/profile,file: /home/admin/profile,subject: /home/admin/profile,admin/profile -> admin/profile
Leaky selected,0,4,284530,TP,TP,7.501618385,1,1,1,Firefox backdoor Drakon in-memory,38,7.501618385,0.000000000,EVENT_EXECUTE,ACD92890-0A28-2415-4DB3-400000000010,1523386599791450540,2018-04-10 14:56:39.791451 EDT,2018-04-10 14:54:52.311037344~2018-04-10 14:57:54.726516243,dst,658171,284530,file,subject,file->subject,subject: /home/admin/profile,file: /home/admin/profile,subject: /home/admin/profile,admin/profile -> admin/profile
Leaky selected,0,5,513608,TP,TP,6.956013680,1,1,1,Browser extension Drakon dropper,3,6.956013680,0.000000000,EVENT_EXECUTE,D3225666-C4BF-2415-2778-670200000010,1523553424209486547,2018-04-12 13:17:04.209486 EDT,2018-04-12 13:14:51.796340222~2018-04-12 13:18:43.955869592,src,513608,216933,file,subject,file->subject,file: /var/log/mail,file: /var/log/mail,subject: /var/log/mail,log/mail -> log/mail
Leaky selected,0,6,216933,TP,TP,6.956013680,1,1,1,Browser extension Drakon dropper,30367,6.956013680,0.000000000,EVENT_EXECUTE,D3225666-C4BF-2415-2778-670200000010,1523553424209486547,2018-04-12 13:17:04.209486 EDT,2018-04-12 13:14:51.796340222~2018-04-12 13:18:43.955869592,dst,513608,216933,file,subject,file->subject,subject: /var/log/mail,file: /var/log/mail,subject: /var/log/mail,log/mail -> log/mail
Leaky selected,0,7,512217,FP,FP,5.552866936,0,1,1,benign,3,5.552866936,0.000000000,EVENT_READ,62ECD6DA-79BE-2415-F533-630200000010,1523552004529908834,2018-04-12 12:53:24.529909 EDT,2018-04-12 12:53:24.522774119~2018-04-12 12:57:57.630696391,src,512217,216335,file,subject,file->subject,file: pipe:[835394],file: pipe:[835394],subject: /sbin/init | /sbin/init ro quiet splash ,pipe:[835394] -> sbin/init
Leaky selected,0,8,216335,FP,FP,5.552866936,0,1,1,benign,9,5.552866936,0.000000000,EVENT_READ,62ECD6DA-79BE-2415-F533-630200000010,1523552004529908834,2018-04-12 12:53:24.529909 EDT,2018-04-12 12:53:24.522774119~2018-04-12 12:57:57.630696391,dst,512217,216335,file,subject,file->subject,subject: /sbin/init | /sbin/init ro quiet splash ,file: pipe:[835394],subject: /sbin/init | /sbin/init ro quiet splash ,pipe:[835394] -> sbin/init
Leaky selected,0,9,513211,FP,FP,5.528005600,0,1,1,benign,3,5.528005600,0.000000000,EVENT_READ,75B9F170-66BF-2415-C24C-660200000010,1523553020660529525,2018-04-12 13:10:20.660530 EDT,2018-04-12 13:10:20.645493499~2018-04-12 13:13:42.237131526,src,513211,216836,file,subject,file->subject,file: pipe:[840805],file: pipe:[840805],subject: /sbin/init | /sbin/init ro quiet splash ,pipe:[840805] -> sbin/init
Leaky selected,0,10,216836,FP,FP,5.528005600,0,1,1,benign,9,5.528005600,0.000000000,EVENT_READ,75B9F170-66BF-2415-C24C-660200000010,1523553020660529525,2018-04-12 13:10:20.660530 EDT,2018-04-12 13:10:20.645493499~2018-04-12 13:13:42.237131526,dst,513211,216836,file,subject,file->subject,subject: /sbin/init | /sbin/init ro quiet splash ,file: pipe:[840805],subject: /sbin/init | /sbin/init ro quiet splash ,pipe:[840805] -> sbin/init
Leaky selected,0,11,512168,TP,TP,5.507089615,1,1,1,Browser extension Drakon dropper,3,5.507089615,0.000000000,EVENT_EXECUTE,26E8DAA1-4EBE-2415-40F8-620200000010,1523551818890274854,2018-04-12 12:50:18.890275 EDT,2018-04-12 12:51:19.941479376~2018-04-12 12:52:04.572076304,src,512168,216310,file,subject,file->subject,file: /etc/firefox/native-messaging-hosts/gtcache,file: /etc/firefox/native-messaging-hosts/gtcache,subject: /bin/dash | /bin/sh -c ./gtcache &>/dev/null &,native-messaging-hosts/gtcache -> bin/dash
Leaky selected,0,12,216310,TP,TP,5.507089615,1,1,1,Browser extension Drakon dropper,47,5.507089615,0.000000000,EVENT_EXECUTE,26E8DAA1-4EBE-2415-40F8-620200000010,1523551818890274854,2018-04-12 12:50:18.890275 EDT,2018-04-12 12:51:19.941479376~2018-04-12 12:52:04.572076304,dst,512168,216310,file,subject,file->subject,subject: /bin/dash | /bin/sh -c ./gtcache &>/dev/null &,file: /etc/firefox/native-messaging-hosts/gtcache,subject: /bin/dash | /bin/sh -c ./gtcache &>/dev/null &,native-messaging-hosts/gtcache -> bin/dash
Leaky selected,0,13,512992,FP,FP,5.485175133,0,1,1,benign,3,5.485175133,0.000000000,EVENT_READ,557C81D7-4CBF-2415-078B-650200000010,1523552910712077397,2018-04-12 13:08:30.712077 EDT,2018-04-12 13:07:06.978691622~2018-04-12 13:08:35.526322672,src,512992,216786,file,subject,file->subject,file: pipe:[839377],file: pipe:[839377],subject: /sbin/init | /sbin/init ro quiet splash ,pipe:[839377] -> sbin/init
Leaky selected,0,14,512744,FP,FP,5.485175133,0,1,1,benign,3,5.485175133,0.000000000,EVENT_READ,7909FA58-39BF-2415-03FE-640200000010,1523552826984892793,2018-04-12 13:07:06.984893 EDT,2018-04-12 13:07:06.978691622~2018-04-12 13:08:35.526322672,src,512744,216762,file,subject,file->subject,file: pipe:[838307],file: pipe:[838307],subject: /sbin/init | /sbin/init ro quiet splash ,pipe:[838307] -> sbin/init
Leaky selected,0,15,216786,FP,FP,5.485175133,0,1,1,benign,9,5.485175133,0.000000000,EVENT_READ,557C81D7-4CBF-2415-078B-650200000010,1523552910712077397,2018-04-12 13:08:30.712077 EDT,2018-04-12 13:07:06.978691622~2018-04-12 13:08:35.526322672,dst,512992,216786,file,subject,file->subject,subject: /sbin/init | /sbin/init ro quiet splash ,file: pipe:[839377],subject: /sbin/init | /sbin/init ro quiet splash ,pipe:[839377] -> sbin/init
Leaky selected,0,16,216762,FP,FP,5.485175133,0,1,1,benign,9,5.485175133,0.000000000,EVENT_READ,7909FA58-39BF-2415-03FE-640200000010,1523552826984892793,2018-04-12 13:07:06.984893 EDT,2018-04-12 13:07:06.978691622~2018-04-12 13:08:35.526322672,dst,512744,216762,file,subject,file->subject,subject: /sbin/init | /sbin/init ro quiet splash ,file: pipe:[838307],subject: /sbin/init | /sbin/init ro quiet splash ,pipe:[838307] -> sbin/init
Leaky selected,0,17,226489,TN_near_threshold,TN (benign) near threshold,4.899395943,0,0,0,benign,3,4.899395943,0.000000000,EVENT_SENDMSG,3CA26B1F-B40E-2515-AA30-610300000010,1523640215718830652,2018-04-13 13:23:35.718831 EDT,2018-04-13 13:23:35.713516817~2018-04-13 13:28:36.311823617,src,226489,67683,subject,netflow,subject->netflow,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,netflow LOCAL:0->NA:0,firefox/firefox -> netflow LOCAL:0->NA:0
Leaky selected,0,18,67683,FN,FN,4.899395943,1,0,0,Firefox backdoor Drakon in-memory,47011,4.899395943,0.000000000,EVENT_SENDMSG,3CA26B1F-B40E-2515-AA30-610300000010,1523640215718830652,2018-04-13 13:23:35.718831 EDT,2018-04-13 13:23:35.713516817~2018-04-13 13:28:36.311823617,dst,226489,67683,subject,netflow,subject->netflow,netflow LOCAL:0->NA:0,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,netflow LOCAL:0->NA:0,firefox/firefox -> netflow LOCAL:0->NA:0
Leaky selected,0,19,511272,FN,FN,4.885667801,1,0,0,Browser extension Drakon dropper,10,4.885667801,0.000000000,EVENT_EXECUTE,404B8711-BFBD-2415-E14B-600200000010,1523551202288552768,2018-04-12 12:40:02.288553 EDT,2018-04-12 12:38:30.732423693~2018-04-12 12:40:45.019444577,src,511272,216082,file,subject,file->subject,file: /etc/firefox/native-messaging-hosts/pass_mgr,file: /etc/firefox/native-messaging-hosts/pass_mgr,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,native-messaging-hosts/pass_mgr -> firefox/firefox
Leaky selected,0,20,216116,FN,FN,4.885667801,1,0,0,Browser extension Drakon dropper,15,4.885667801,0.000000000,EVENT_EXECUTE,937BD74C-C7BD-2415-FC95-600200000010,1523551237643402131,2018-04-12 12:40:37.643402 EDT,2018-04-12 12:38:30.732423693~2018-04-12 12:40:45.019444577,dst,511272,216116,file,subject,file->subject,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,file: /etc/firefox/native-messaging-hosts/pass_mgr,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,native-messaging-hosts/pass_mgr -> firefox/firefox
Leaky selected,0,21,216082,FN,FN,4.885667801,1,0,0,Browser extension Drakon dropper,15,4.885667801,0.000000000,EVENT_EXECUTE,404B8711-BFBD-2415-E14B-600200000010,1523551202288552768,2018-04-12 12:40:02.288553 EDT,2018-04-12 12:38:30.732423693~2018-04-12 12:40:45.019444577,dst,511272,216082,file,subject,file->subject,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,file: /etc/firefox/native-messaging-hosts/pass_mgr,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,native-messaging-hosts/pass_mgr -> firefox/firefox
Leaky selected,0,22,216308,FN,FN,4.868124008,1,0,0,Browser extension Drakon dropper,19,4.868124008,0.000000000,EVENT_EXECUTE,868DBE9B-4EBE-2415-5EF6-620200000010,1523551818787753350,2018-04-12 12:50:18.787753 EDT,2018-04-12 12:51:19.941479376~2018-04-12 12:52:04.572076304,dst,511272,216308,file,subject,file->subject,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,file: /etc/firefox/native-messaging-hosts/pass_mgr,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,native-messaging-hosts/pass_mgr -> firefox/firefox
Leaky selected,0,23,216194,FN,FN,4.855595112,1,0,0,Browser extension Drakon dropper,15,4.855595112,0.000000000,EVENT_EXECUTE,3BC4C93A-E2BD-2415-E37A-610200000010,1523551353304630331,2018-04-12 12:42:33.304630 EDT,2018-04-12 12:41:37.414339210~2018-04-12 12:46:22.515868238,dst,511272,216194,file,subject,file->subject,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,file: /etc/firefox/native-messaging-hosts/pass_mgr,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,native-messaging-hosts/pass_mgr -> firefox/firefox
Leaky selected,0,24,216244,FN,FN,4.780416012,1,0,0,Browser extension Drakon dropper,16,4.780416012,0.000000000,EVENT_EXECUTE,0E8F6916-00BE-2415-3764-620200000010,1523551481543364366,2018-04-12 12:44:41.543364 EDT,2018-04-12 12:41:37.414339210~2018-04-12 12:46:22.515868238,dst,511272,216244,file,subject,file->subject,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,file: /etc/firefox/native-messaging-hosts/pass_mgr,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,native-messaging-hosts/pass_mgr -> firefox/firefox
Leaky selected,0,25,216239,FN,FN,4.780416012,1,0,0,Browser extension Drakon dropper,13,4.780416012,0.000000000,EVENT_EXECUTE,BDC118D5-F6BD-2415-3C2E-620200000010,1523551441792844221,2018-04-12 12:44:01.792844 EDT,2018-04-12 12:41:37.414339210~2018-04-12 12:46:22.515868238,dst,511272,216239,file,subject,file->subject,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,file: /etc/firefox/native-messaging-hosts/pass_mgr,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,native-messaging-hosts/pass_mgr -> firefox/firefox
