model_label,node_group,node_group_label,operation,type_pair,target_role,src_label,dst_label,attack,short_attack,endpoint_pair,short_endpoint_pair,plot_label,count
Leaky selected,FN,FN,EVENT_SENDTO,subject->netflow,src,subject: /etc/firefox/native-messaging-hosts/gtcache | ./gtcache,netflow 128.55.12.110:49721->146.153.68.151:80,Browser extension Drakon dropper,Attack 0,subject: /etc/firefox/native-messaging-hosts/gtcache | ./gtcache -> netflow 128.55.12.110:49721->146.153.68.151:80,native-messaging-hosts/gtcache -> netflow 128.55.12.110:49721->146.153.68.151:80,"process:* native-messaging-hosts/gtcache
-> netflow: netflow 128.55.12.110:49721->146.153.68.151:80",30
Leaky selected,FN,FN,EVENT_SENDTO,subject->netflow,src,subject: /home/admin/clean (deleted) | /home/admin/clean,netflow 128.55.12.110:45226->161.116.88.72:80,Firefox backdoor Drakon in-memory,Attack 1,subject: /home/admin/clean (deleted) | /home/admin/clean -> netflow 128.55.12.110:45226->161.116.88.72:80,admin/clean (deleted) -> netflow 128.55.12.110:45226->161.116.88.72:80,"process:* admin/clean (deleted)
-> netflow: netflow 128.55.12.110:45226->161.116.88.72:80",16
Leaky selected,FN,FN,EVENT_SENDTO,subject->netflow,src,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,netflow 128.55.12.110:44354->146.153.68.151:80,Firefox backdoor Drakon in-memory,Attack 1,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox -> netflow 128.55.12.110:44354->146.153.68.151:80,firefox/firefox -> netflow 128.55.12.110:44354->146.153.68.151:80,"process:* firefox/firefox
-> netflow: netflow 128.55.12.110:44354->146.153.68.151:80",10
Leaky selected,FN,FN,EVENT_EXECUTE,file->subject,dst,file: /etc/firefox/native-messaging-hosts/pass_mgr,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,Browser extension Drakon dropper,Attack 0,file: /etc/firefox/native-messaging-hosts/pass_mgr -> subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,native-messaging-hosts/pass_mgr -> firefox/firefox,"file: native-messaging-hosts/pass_mgr
-> process:* firefox/firefox",9
Leaky selected,FN,FN,EVENT_SENDTO,subject->netflow,src,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,netflow 128.55.12.110:44411->146.153.68.151:80,Firefox backdoor Drakon in-memory,Attack 1,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox -> netflow 128.55.12.110:44411->146.153.68.151:80,firefox/firefox -> netflow 128.55.12.110:44411->146.153.68.151:80,"process:* firefox/firefox
-> netflow: netflow 128.55.12.110:44411->146.153.68.151:80",6
Leaky selected,FN,FN,EVENT_READ,file->subject,dst,file: /etc/passwd,subject: /etc/firefox/native-messaging-hosts/gtcache | ./gtcache,Browser extension Drakon dropper,Attack 0,file: /etc/passwd -> subject: /etc/firefox/native-messaging-hosts/gtcache | ./gtcache,etc/passwd -> native-messaging-hosts/gtcache,"file: etc/passwd
-> process:* native-messaging-hosts/gtcache",3
Leaky selected,FN,FN,EVENT_SENDTO,subject->netflow,src,subject: /home/admin/profile (deleted) | /home/admin/profile,netflow 128.55.12.110:45668->161.116.88.72:80,Firefox backdoor Drakon in-memory,Attack 1,subject: /home/admin/profile (deleted) | /home/admin/profile -> netflow 128.55.12.110:45668->161.116.88.72:80,admin/profile (deleted) -> netflow 128.55.12.110:45668->161.116.88.72:80,"process:* admin/profile (deleted)
-> netflow: netflow 128.55.12.110:45668->161.116.88.72:80",3
Leaky selected,FN,FN,EVENT_EXECUTE,file->subject,dst,file: /bin/uname,subject: /var/log/mail,Browser extension Drakon dropper,Attack 0,file: /bin/uname -> subject: /var/log/mail,bin/uname -> log/mail,"file: bin/uname
-> process:* log/mail",2
Leaky selected,FN,FN,EVENT_EXECUTE,file->subject,dst,file: /home/admin/Downloads/firefox/firefox,subject: /usr/bin/fluxbox | fluxbox,Firefox backdoor Drakon in-memory,Attack 1,file: /home/admin/Downloads/firefox/firefox -> subject: /usr/bin/fluxbox | fluxbox,firefox/firefox -> bin/fluxbox,"file: firefox/firefox
-> process:* bin/fluxbox",2
Leaky selected,FN,FN,EVENT_READ,file->subject,dst,file: /dev/urandom,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,Firefox backdoor Drakon in-memory,Attack 1,file: /dev/urandom -> subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,dev/urandom -> firefox/firefox,"file: dev/urandom
-> process:* firefox/firefox",2
